EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,122,-7,-9,-9,-26,-52,519,510,519,510,nivel_conv,519,425.8350672043111,9,-84.16493279568891,-93.16493279568891,93.16493279568891,8679.704702825231,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-29,-36,119,-6,-7,-7,21,8,495,518,495,518,nivel_conv,495,436.451192497979,-23,-81.54880750202096,-58.54880750202096,58.54880750202096,3427.962859908706,518,529,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,117,-6,-6,-6,15,40,466,544,466,544,nivel_conv,466,430.2325133926331,-78,-113.7674866073669,-35.76748660736695,35.76748660736695,1279.313098208174,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,116,-7,-7,-7,7,28,461,546,461,546,nivel_conv,461,428.7895593412674,-85,-117.2104406587326,-32.21044065873258,32.21044065873258,1037.512487429733,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,116,-7,-7,-7,-4,11,461,540,461,540,nivel_conv,461,416.7603900218542,-79,-123.2396099781458,-44.23960997814584,44.23960997814584,1957.143091018461,540,6241,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,101,22,17,12,51,65,496,336,496,336,nivel_conv,496,484.0333214355381,160,148.0333214355381,-11.96667856446186,11.96667856446186,143.2013958651509,336,25600,3,Teste
2,3,Teste,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,106,27,27,22,64,90,509,367,509,367,nivel_conv,509,517.1039950831479,142,150.1039950831479,8.103995083147879,8.103995083147879,65.674736307685,367,20164,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,114,35,35,35,51,102,545,387,545,387,nivel_conv,545,547.2017700394626,158,160.2017700394626,2.201770039462644,2.201770039462644,4.847791306675335,387,24964,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,44,47,119,39,40,40,33,97,625,400,625,400,nivel_conv,625,567.9971999777329,225,167.9971999777329,-57.00280002226714,57.00280002226714,3249.319210378579,400,50625,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,78,82,121,33,41,42,39,90,699,426,699,426,nivel_conv,699,607.964854955663,273,181.964854955663,-91.03514504433701,91.03514504433701,8287.397633243478,426,74529,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,109,114,123,34,35,43,46.60000000000002,79.60000000000002,770,446.6,770,446.6,nivel_conv,770,632.3046644112903,323.4,185.7046644112903,-137.6953355887097,137.6953355887097,18960.00544288737,446.6,104587.56,3,Teste
2,3,Teste,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,148,155,126,36,37,38,39,78,834,465,834,465,nivel_conv,834,664.5997829520504,369,199.5997829520504,-169.4002170479496,169.4002170479496,28696.43353589243,465,136161,3,Teste
2,3,Teste,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,193,201,128,36,38,39,36.39999999999998,83,867,483,867,483,nivel_conv,867,706.7003640607081,384,223.7003640607081,-160.2996359392919,160.2996359392919,25695.97328226952,483,147456,3,Teste
2,3,Teste,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,255,260,132,38,40,42,26,65,880,491,880,491,nivel_conv,880,749.2345782886371,389,258.2345782886371,-130.7654217113629,130.7654217113629,17099.59551535059,491,151321,3,Teste
2,3,Teste,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,276,274,138,42,44,46,6,42.39999999999998,886,489,886,489,nivel_conv,886,758.7268440544069,397,269.7268440544069,-127.2731559455931,127.2731559455931,16198.45622435126,489,157609,3,Teste
2,3,Teste,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,280,275,142,41,46,48,-5,21,888,486,888,486,nivel_conv,888,760.4655600549681,402,274.4655600549681,-127.5344399450319,127.5344399450319,16265.03337209294,486,161604,3,Teste
2,3,Teste,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,290,288,146,40,45,50,0,6,888,489,888,489,nivel_conv,888,778.956577809314,399,289.956577809314,-109.043422190686,109.043422190686,11890.46792305619,489,159201,3,Teste
2,3,Teste,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,286,284,150,36,44,49,10,5,883,496,883,496,nivel_conv,883,782.5860905639947,387,286.5860905639947,-100.4139094360053,100.4139094360053,10082.95320822227,496,149769,3,Teste
