EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_16_nivel_A-1h_86472600,inp10_input_17_nivel_A-2h_86472600,inp11_input_18_nivel_A-4h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
1,1,Teste,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-48,648,-15,-18,-5,-6,-2,502,544,485.2626372783812,-16.73736272161875,16.73736272161875,280.1393108750331,1764,544,502
1,1,Teste,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-67,639,-19,-10,-3,-8,-12,495,546,490.5611737957349,-4.438826204265069,4.438826204265069,19.70317807167024,2601,546,495
1,1,Teste,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-73,627,-21,7,-8,-11,-17,487,540,473.2235767870732,-13.77642321292683,13.77642321292683,189.7898365416692,2809,540,487
2,1,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,8,452,19,-3,15,25,32,491,336,445.5347534007142,-45.46524659928582,45.46524659928582,2067.088648333871,24025,336,491
2,1,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,8,461,16,5,-2,13,25,489,367,435.9373849641391,-53.06261503586086,53.06261503586086,2815.641114443967,14884,367,489
2,1,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,24,475,23,13,-11,-13,12,486,387,416.7531793815749,-69.24682061842509,69.24682061842509,4795.122165760342,9801,387,486
2,1,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,47,493,32,16,-7,-18,-5,489,400,435.466791540138,-53.53320845986195,53.53320845986195,2865.804408007035,7921,400,489
2,1,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,82,511,36,17,13,6,-7,496,426,565.8344206069709,69.83442060697087,69.83442060697087,4876.846301511318,4900,426,496
2,1,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,114,525,32,14,-5.399999999999977,7.600000000000023,-10.39999999999998,509,446.6,545.6041551096423,36.60415510964231,36.60415510964231,1339.864171290753,3893.759999999997,446.6,509
2,1,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,155,532,21,8,-2.200000000000045,-7.600000000000023,-1.600000000000023,545,465,602.6975355376743,57.6975355376743,57.6975355376743,3329.005607121188,6400,465,545
2,1,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,201,529,4,-3,-0.3999999999999773,-2.600000000000023,5,625,483,671.4533861036674,46.45338610366741,46.45338610366741,2157.917080496401,20164,483,625
2,1,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,260,522,-10,-9,-10,-10.39999999999998,-18,699,491,674.256604608256,-24.743395391744,24.743395391744,612.2356155121784,43264,491,699
