EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_12_nivel_D_2h_86472600,inp13_input_13_nivel_D_4h_86472600,inp14_input_16_nivel_A_1h_86472600,inp15_input_17_nivel_A_2h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,3,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-9,-21,1,1,-7,398,391,398,delta_alt,391,393.1977075565443,-7,-4.802292443455713,2.197707556544287,2.197707556544287,4.829918504091863,398,49,3,Teste
1,3,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-7,-17,1,2,-1,395,394,395,delta_alt,394,394.4328556800182,-1,-0.5671443199818214,0.4328556800181786,0.4328556800181786,0.1873640397239999,395,1,3,Teste
1,3,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,-6,-11,0,-1,10,384,394,384,delta_alt,394,405.0111032884732,10,21.01110328847324,11.01110328847324,11.01110328847324,121.2443956294261,384,100,3,Teste
1,3,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,-1,-6,-1,1,15,381,396,381,delta_alt,396,410.2798448975316,15,29.27984489753158,14.27984489753158,14.27984489753158,203.9139702975586,381,225,3,Teste
1,3,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,0,-2,2,1,22,382,404,382,delta_alt,404,419.2611920119341,22,37.2611920119341,15.2611920119341,15.2611920119341,232.9039816251212,382,484,3,Teste
1,3,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,-1,0,1,0,132,394,526,394,delta_alt,526,493.964772867738,132,99.96477286773802,-32.03522713226198,32.03522713226198,1026.255777415614,394,17424,3,Teste
1,3,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,0,-1,0,1,133,394,527,394,delta_alt,527,499.9413987007044,133,105.9413987007044,-27.05860129929556,27.05860129929556,732.1679042742394,394,17689,3,Teste
1,3,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,0,-1,0,0,133,394,527,394,delta_alt,527,510.1021436478201,133,116.1021436478201,-16.89785635217993,16.89785635217993,285.5375492989075,394,17689,3,Teste
1,3,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,2,2,2,2,130,396,526,396,delta_alt,526,545.9369822149317,130,149.9369822149317,19.93698221493173,19.93698221493173,397.4832598385042,396,16900,3,Teste
1,3,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,10,10,6,8,120,404,524,404,delta_alt,524,553.5255703164432,120,149.5255703164432,29.52557031644324,29.52557031644324,871.759302511234,404,14400,3,Teste
1,3,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,6,21,-2,-4,17,526,543,526,delta_alt,543,525.1549626153508,17,-0.8450373846492312,-17.84503738464923,17.84503738464923,318.4453592595287,526,289,3,Teste
1,3,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,1,7,-1,-2,33,527,560,527,delta_alt,560,518.9229559437481,33,-8.077044056251907,-41.07704405625191,41.07704405625191,1687.32354839926,527,1089,3,Teste
1,3,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,-1,2,-1,-2,36,526,562,526,delta_alt,562,516.7511329405851,36,-9.24886705941492,-45.24886705941492,45.24886705941492,2047.459970160605,526,1296,3,Teste
1,3,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,-3,-2,-1,-2,28,524,552,524,delta_alt,552,519.8086178119909,28,-4.191382188009129,-32.19138218800913,32.19138218800913,1036.285087174472,524,784,3,Teste
1,3,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,15,16,3,8,-15,533,518,533,delta_alt,518,560.8323211090348,-15,27.83232110903475,42.83232110903475,42.83232110903475,1834.607731587464,533,225,3,Teste
1,3,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,20,35,0,1,-14,553,539,553,delta_alt,539,561.148260420266,-14,8.148260420265956,22.14826042026596,22.14826042026596,490.5454396439195,553,196,3,Teste
1,3,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,17,36,-3,-3,-16,560,544,560,delta_alt,544,532.5322080435207,-16,-27.46779195647935,-11.46779195647935,11.46779195647935,131.5102523570924,560,256,3,Teste
1,3,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,9,29,-5,-8,-16,562,546,562,delta_alt,546,510.5639582602877,-16,-51.43604173971232,-35.43604173971232,35.43604173971232,1255.713054178634,562,256,3,Teste
1,3,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,-26,-52,4,5,9,510,519,510,delta_alt,519,486.1183083751905,9,-23.88169162480949,-32.88169162480949,32.88169162480949,1081.205644109067,510,81,3,Teste
1,3,Teste,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,15,40,-5,-6,-78,544,466,544,delta_alt,466,445.6798063849736,-78,-98.32019361502637,-20.32019361502637,20.32019361502637,412.9102685521584,544,6084,3,Teste
1,3,Teste,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,7,28,-3,-8,-85,546,461,546,delta_alt,461,462.6670036482601,-85,-83.3329963517399,1.667003648260106,1.667003648260106,2.778901163312504,546,7225,3,Teste
1,3,Teste,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,-4,11,-8,-11,-79,540,461,540,delta_alt,461,435.0108311920154,-79,-104.9891688079846,-25.98916880798458,25.98916880798458,675.4368953299188,540,6241,3,Teste
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,452,7,19,90,6,51,65,15,25,160,336,496,336,delta_alt,496,491.2044309190539,160,155.2044309190539,-4.795569080946052,4.795569080946052,22.99748281012576,336,25600,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,461,9,16,61,7,64,90,-2,13,142,367,509,367,delta_alt,509,503.856853642626,142,136.856853642626,-5.143146357374007,5.143146357374007,26.45195445336952,367,20164,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,475,14,23,42,13,51,102,-11,-13,158,387,545,387,delta_alt,545,509.9305496007539,158,122.9305496007539,-35.06945039924608,35.06945039924608,1229.866351305181,387,24964,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,44,47,493,18,32,48,18,33,97,-7,-18,225,400,625,400,delta_alt,625,534.6484603912631,225,134.6484603912631,-90.35153960873686,90.35153960873686,8163.400709669145,400,50625,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,78,82,511,18,36,59,19,39,90,13,6,273,426,699,426,delta_alt,699,619.0568582452993,273,193.0568582452993,-79.94314175470072,79.94314175470072,6390.905913612173,426,74529,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,109,114,525,14,32,64,14,46.60000000000002,79.60000000000002,-5.399999999999977,7.600000000000023,323.4,446.6,770,446.6,delta_alt,770,632.4943616755473,323.4,185.8943616755473,-137.5056383244527,137.5056383244527,18907.80057101518,446.6,104587.56,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,148,155,532,7,21,57,5,39,78,-2.200000000000045,-7.600000000000023,369,465,834,465,delta_alt,834,658.3776260263735,369,193.3776260263735,-175.6223739736265,175.6223739736265,30843.21824013233,465,136161,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,193,201,529,-3,4,36,-7,36.39999999999998,83,-0.3999999999999773,-2.600000000000023,384,483,867,483,delta_alt,867,694.6746719931509,384,211.6746719931509,-172.3253280068491,172.3253280068491,29696.01867266812,483,147456,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,255,260,522,-7,-10,11,-14,26,65,-10,-10.39999999999998,389,491,880,491,delta_alt,880,717.7349350567422,389,226.7349350567422,-162.2650649432578,162.2650649432578,26329.95130103968,491,151321,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,276,274,520,-2,-9,-5,-40,6,42.39999999999998,-10,-20,397,489,886,489,delta_alt,886,718.6797585227828,397,229.6797585227828,-167.3202414772172,167.3202414772172,27996.06320799428,489,157609,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,280,275,525,5,3,-7,-28,-5,21,-1,-11,402,486,888,486,delta_alt,888,741.9509982700824,402,255.9509982700824,-146.0490017299176,146.0490017299176,21330.31090630546,486,161604,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,290,288,545,20,25,16,8,0,6,6,5,399,489,888,489,delta_alt,888,787.3817981377028,399,298.3817981377028,-100.6182018622972,100.6182018622972,10124.02254600198,489,159201,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,286,284,604,59,79,82,52,10,5,4,10,387,496,883,496,delta_alt,883,827.9114048710767,387,331.9114048710767,-55.08859512892332,55.08859512892332,3034.753313278434,496,149769,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,287,284,709,105,164,189,96,20,20,6,10,372,509,881,509,delta_alt,881,875.5456237718768,372,366.5456237718768,-5.454376228123238,5.454376228123238,29.75022003791588,509,138384,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,270,283,800,91,196,275,77,49,59,23,29,332,545,877,545,delta_alt,877,910.357787463791,332,365.3577874637911,33.35778746379106,33.35778746379106,1112.741984479456,545,110224,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,254,292,875,75,166,330,57,116,136,44,67,249,625,874,625,delta_alt,874,1003.357625842821,249,378.3576258428211,129.3576258428211,129.3576258428211,16733.3953636913,625,62001,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,204,264,978,103,178,374,85,154,203,-6,38,182,699,881,699,delta_alt,881,1020.041705781347,182,321.0417057813474,139.0417057813474,139.0417057813474,19332.59594658679,699,33124,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,166,236,1017,39,142,308,25,145,261,-3,-9,118,770,888,770,delta_alt,888,979.9169617667244,118,209.9169617667244,91.9169617667244,91.9169617667244,8448.727860425475,770,13924,2,Validacao
2,2,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,126,203,1027,10,49,227,3,135,289,-7,-10,59,834,893,834,delta_alt,893,958.1931862636079,59,124.1931862636079,65.19318626360791,65.19318626360791,4250.151535201476,834,3481,2,Validacao
2,2,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,79,171,1031,4,14,156,7,97,242,-31,-38,14,867,881,867,delta_alt,881,880.8860166736537,14,13.88601667365367,-0.1139833263463288,0.1139833263463288,0.01299219868497369,867,196,2,Validacao
2,2,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,17,129,1036,5,9,58,12,46,181,-20,-51,-12,880,868,880,delta_alt,868,850.626421657389,-12,-29.37357834261104,-17.37357834261104,17.37357834261104,301.8412244268434,880,144,2,Validacao
2,2,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,0,81,1036,0,5,19,2,19,116,-7,-27,-30,886,856,886,delta_alt,856,858.3782570015817,-30,-27.62174299841831,2.378257001581687,2.378257001581687,5.656106365572318,886,900,2,Validacao
2,2,Validacao,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,1,21,1037,1,1,10,-4,8,54,-4,-11,-45,888,843,888,delta_alt,843,862.3291553504216,-45,-25.67084464957838,19.32915535042162,19.32915535042162,373.6162465607326,888,2025,2,Validacao
2,2,Validacao,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,0,12,1029,-8,-7,-2,-28,2,21,-2,-6,-66,888,822,888,delta_alt,822,849.0567069335357,-66,-38.94329306646432,27.05670693353568,27.05670693353568,732.0653900872377,888,4356,2,Validacao
2,2,Validacao,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-14,-10,1027,-2,-10,-9,-61,-5,3,-5,-7,-82,883,801,883,delta_alt,801,822.7197736967295,-82,-60.28022630327052,21.71977369672948,21.71977369672948,471.7485694371416,883,6724,2,Validacao
2,2,Validacao,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-16,-22,1023,-4,-6,-13,-109,-7,-5,3,-2,-94,881,787,881,delta_alt,787,819.6673772189268,-94,-61.33262278107316,32.66737721892684,32.66737721892684,1067.15753436366,881,8836,2,Validacao
2,2,Validacao,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-18,-21,1026,3,-1,-11,-88,-6,-11,-2,1,-106,877,771,877,delta_alt,771,821.2408564367933,-106,-55.75914356320675,50.24085643679325,50.24085643679325,2524.14365550247,877,11236,2,Validacao
2,2,Validacao,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-31,-26,1054,28,31,25,-47,-7,-14,1,-1,-120,874,754,874,delta_alt,754,847.4627256842473,-120,-26.53727431575271,93.46272568424729,93.46272568424729,8735.281092328858,874,14400,2,Validacao
2,2,Validacao,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-25,-31,1057,3,31,30,-100,4,-2,10,11,-139,881,742,881,delta_alt,742,837.5699771591565,-139,-43.43002284084355,95.56997715915645,95.56997715915645,9133.620534201686,881,19321,2,Validacao
2,2,Validacao,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-16,-34,1047,-10,-7,24,-49,14,7,0,10,-153,888,735,888,delta_alt,735,824.0522136602383,-153,-63.94778633976171,89.0522136602383,89.0522136602383,7930.296757788732,888,23409,2,Validacao
2,2,Validacao,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-7,-8,1020,-27,-37,-6,-37,12,16,-2,-2,-165,893,728,893,delta_alt,728,804.2052686127298,-165,-88.79473138727019,76.20526861272981,76.20526861272981,5807.242964338303,893,27225,2,Validacao
2,2,Validacao,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,-3,2,1012,-8,-35,-42,-12,-7,7,-17,-19,-160,881,721,881,delta_alt,721,782.4089027181994,-160,-98.59109728180056,61.40890271819944,61.40890271819944,3771.053333053283,881,25600,2,Validacao
2,2,Validacao,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-11,-8,996,-16,-24,-61,-21,-25,-13,-1,-18,-157,868,711,868,delta_alt,711,772.771689140991,-157,-95.22831085900896,61.77168914099104,61.77168914099104,3815.741579331231,868,24649,2,Validacao
2,2,Validacao,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,2,4,975,-21,-37,-72,-21,-25,-32,1,0,-160,856,696,856,delta_alt,696,775.9128149377846,-160,-80.08718506221544,79.91281493778456,79.91281493778456,6386.057991280603,856,25600,2,Validacao
2,2,Validacao,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,3,7,940,-35,-56,-80,-36,-25,-50,-1,0,-162,843,681,843,delta_alt,681,735.9231727268409,-162,-107.0768272731591,54.9231727268409,54.9231727268409,3016.554902382401,843,26244,2,Validacao
2,2,Validacao,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,9,2,877,-14,-39,-63,-17,-30,-72,-2,5,-130,771,641,771,delta_alt,641,691.5769609857651,-130,-79.42303901423486,50.57696098576514,50.57696098576514,2558.028982555609,771,16900,2,Validacao
