EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_12_nivel_D_2h_86472600,inp13_input_13_nivel_D_4h_86472600,inp14_input_16_nivel_A_1h_86472600,inp15_input_17_nivel_A_2h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,3,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-9,-21,1,1,-7,398,391,398,delta_alt,391,400.3890491670355,-7,2.389049167035523,9.389049167035523,9.389049167035523,88.15424426101045,398,49,3,Teste
1,3,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-7,-17,1,2,-1,395,394,395,delta_alt,394,400.1781070436219,-1,5.178107043621935,6.178107043621935,6.178107043621935,38.16900664245097,395,1,3,Teste
1,3,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,-6,-11,0,-1,10,384,394,384,delta_alt,394,406.0198549092697,10,22.01985490926972,12.01985490926972,12.01985490926972,144.4769120398955,384,100,3,Teste
1,3,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,-1,-6,-1,1,15,381,396,381,delta_alt,396,413.1809383174,15,32.18093831739998,17.18093831739998,17.18093831739998,295.1846414663028,381,225,3,Teste
1,3,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,0,-2,2,1,22,382,404,382,delta_alt,404,425.9394616281631,22,43.93946162816314,21.93946162816314,21.93946162816314,481.339976533643,382,484,3,Teste
1,3,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,-1,0,1,0,132,394,526,394,delta_alt,526,497.4615706447782,132,103.4615706447782,-28.53842935522175,28.53842935522175,814.4419500629826,394,17424,3,Teste
1,3,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,0,-1,0,1,133,394,527,394,delta_alt,527,500.086898883041,133,106.086898883041,-26.91310111695896,26.91310111695896,724.3150117316574,394,17689,3,Teste
1,3,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,0,-1,0,0,133,394,527,394,delta_alt,527,508.0052869475167,133,114.0052869475167,-18.99471305248335,18.99471305248335,360.7991239461813,394,17689,3,Teste
1,3,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,2,2,2,2,130,396,526,396,delta_alt,526,539.685410252194,130,143.6854102521939,13.68541025219395,13.68541025219395,187.2904537708552,396,16900,3,Teste
1,3,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,10,10,6,8,120,404,524,404,delta_alt,524,550.6590419977296,120,146.6590419977296,26.65904199772956,26.65904199772956,710.7045202367085,404,14400,3,Teste
1,3,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,6,21,-2,-4,17,526,543,526,delta_alt,543,544.5785485301191,17,18.57854853011906,1.578548530119065,1.578548530119065,2.49181546194106,526,289,3,Teste
1,3,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,1,7,-1,-2,33,527,560,527,delta_alt,560,540.2365549235591,33,13.23655492355908,-19.76344507644092,19.76344507644092,390.5937612894967,527,1089,3,Teste
1,3,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,-1,2,-1,-2,36,526,562,526,delta_alt,562,545.9525161619109,36,19.95251616191092,-16.04748383808908,16.04748383808908,257.5217375337302,526,1296,3,Teste
1,3,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,-3,-2,-1,-2,28,524,552,524,delta_alt,552,543.7508565882111,28,19.75085658821115,-8.24914341178885,8.24914341178885,68.04836702825939,524,784,3,Teste
1,3,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,15,16,3,8,-15,533,518,533,delta_alt,518,571.1969530098295,-15,38.19695300982949,53.19695300982949,53.19695300982949,2829.915809530006,533,225,3,Teste
1,3,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,20,35,0,1,-14,553,539,553,delta_alt,539,580.589918265993,-14,27.58991826599299,41.58991826599299,41.58991826599299,1729.721301371977,553,196,3,Teste
1,3,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,17,36,-3,-3,-16,560,544,560,delta_alt,544,553.947098928254,-16,-6.052901071745964,9.947098928254036,9.947098928254036,98.94477708847259,560,256,3,Teste
1,3,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,9,29,-5,-8,-16,562,546,562,delta_alt,546,529.784366288861,-16,-32.21563371113905,-16.21563371113905,16.21563371113905,262.9467766538291,562,256,3,Teste
1,3,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,-26,-52,4,5,9,510,519,510,delta_alt,519,480.1132629254392,9,-29.88673707456076,-38.88673707456076,38.88673707456076,1512.178320306018,510,81,3,Teste
1,3,Teste,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,15,40,-5,-6,-78,544,466,544,delta_alt,466,453.5530242550466,-78,-90.44697574495342,-12.44697574495342,12.44697574495342,154.9272051954588,544,6084,3,Teste
1,3,Teste,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,7,28,-3,-8,-85,546,461,546,delta_alt,461,471.5796677177943,-85,-74.42033228220566,10.57966771779434,10.57966771779434,111.9293690189396,546,7225,3,Teste
1,3,Teste,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,-4,11,-8,-11,-79,540,461,540,delta_alt,461,436.4038644676533,-79,-103.5961355323467,-24.59613553234669,24.59613553234669,604.9698831255675,540,6241,3,Teste
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,452,7,19,90,6,51,65,15,25,160,336,496,336,delta_alt,496,529.1064988921194,160,193.1064988921194,33.10649889211936,33.10649889211936,1096.0402688939,336,25600,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,461,9,16,61,7,64,90,-2,13,142,367,509,367,delta_alt,509,550.9922884174061,142,183.9922884174061,41.99228841740614,41.99228841740614,1763.352286530622,367,20164,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,475,14,23,42,13,51,102,-11,-13,158,387,545,387,delta_alt,545,563.3589774650875,158,176.3589774650875,18.35897746508749,18.35897746508749,337.0520535635903,387,24964,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,44,47,493,18,32,48,18,33,97,-7,-18,225,400,625,400,delta_alt,625,584.6938424233069,225,184.6938424233069,-40.30615757669307,40.30615757669307,1624.586338597212,400,50625,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,78,82,511,18,36,59,19,39,90,13,6,273,426,699,426,delta_alt,699,679.2301115721493,273,253.2301115721493,-19.76988842785067,19.76988842785067,390.848488449664,426,74529,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,109,114,525,14,32,64,14,46.60000000000002,79.60000000000002,-5.399999999999977,7.600000000000023,323.4,446.6,770,446.6,delta_alt,770,677.6845550094212,323.4,231.0845550094211,-92.31544499057884,92.31544499057884,8522.141383808588,446.6,104587.56,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,148,155,532,7,21,57,5,39,78,-2.200000000000045,-7.600000000000023,369,465,834,465,delta_alt,834,710.5250645593744,369,245.5250645593744,-123.4749354406256,123.4749354406256,15246.05968206666,465,136161,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,193,201,529,-3,4,36,-7,36.39999999999998,83,-0.3999999999999773,-2.600000000000023,384,483,867,483,delta_alt,867,748.036038707879,384,265.036038707879,-118.963961292121,118.963961292121,14152.42408631326,483,147456,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,255,260,522,-7,-10,11,-14,26,65,-10,-10.39999999999998,389,491,880,491,delta_alt,880,757.3510528839024,389,266.3510528839024,-122.6489471160976,122.6489471160976,15042.7642286873,491,151321,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,276,274,520,-2,-9,-5,-40,6,42.39999999999998,-10,-20,397,489,886,489,delta_alt,886,757.8908184129475,397,268.8908184129475,-128.1091815870525,128.1091815870525,16411.96240690439,489,157609,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,280,275,525,5,3,-7,-28,-5,21,-1,-11,402,486,888,486,delta_alt,888,787.5980071316733,402,301.5980071316733,-100.4019928683267,100.4019928683267,10080.56017193153,486,161604,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,290,288,545,20,25,16,8,0,6,6,5,399,489,888,489,delta_alt,888,837.2034810695807,399,348.2034810695807,-50.79651893041932,50.79651893041932,2580.286335448449,489,159201,2,Validacao
