EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7_nivel_86472000,inp05_input_7_nivel_D_1h_86472000,inp06_input_7_nivel_D_2h_86472000,inp07_input_7_nivel_D_4h_86472000,inp08_input_7_nivel_A_12h_86472000,inp09_input_8_nivel_86125130,inp10_input_8_nivel_D_10h_86125130,inp11_input_8_nivel_D_11h_86125130,inp12_input_8_nivel_D_12h_86125130,inp13_input_12_nivel_D_2h_86472600,inp14_input_13_nivel_D_4h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-2,-5,-13,-9,105,-8,-9,-10,-9,-21,-7,398,391,398,delta_alt,391,402.7345886011374,-7,4.734588601137375,11.73458860113738,11.73458860113738,137.7005696379432,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-2,-4,-11,-7,104,-7,-9,-10,-7,-17,-1,395,394,395,delta_alt,394,406.6348376861019,-1,11.63483768610195,12.63483768610195,12.63483768610195,159.639123354142,395,1,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,0,-3,-8,12,106,-3,-3,-4,-5,-11,7,387,394,387,delta_alt,394,413.2640727711762,7,26.26407277117619,19.26407277117619,19.26407277117619,371.1044997331718,387,49,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-2,-8,9,113,5,4,4,-6,-11,10,384,394,384,delta_alt,394,449.7381528025546,10,65.73815280255462,55.73815280255462,55.73815280255462,3106.741677840928,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,2,-1,8,139,33,33,31,-1,-6,15,381,396,381,delta_alt,396,572.446950116338,15,191.446950116338,176.446950116338,176.446950116338,31133.52620535748,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,4,6,5,8,142,37,36,36,0,-2,22,382,404,382,delta_alt,404,594.0994111203122,22,212.0994111203122,190.0994111203122,190.0994111203122,36137.78610828947,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,2,3,1,4,148,11,29,35,-1,0,132,394,526,394,delta_alt,526,494.385912459447,132,100.385912459447,-31.61408754055299,31.61408754055299,999.4505310217476,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,6,8,8,7,145,6,8,26,0,-1,133,394,527,394,delta_alt,527,478.5212029945581,133,84.52120299455805,-48.47879700544195,48.47879700544195,2350.193759094847,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,13,19,22,13,143,1,4,6,0,-1,133,394,527,394,delta_alt,527,467.104510676494,133,73.10451067649399,-59.89548932350601,59.89548932350601,3587.469641302223,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,38,51,59,36,141,-2,-1,2,2,2,130,396,526,396,delta_alt,526,463.3177455738223,130,67.31774557382232,-62.68225442617768,62.68225442617768,3929.065019948071,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,567,32,70,89,28,140,-5,-3,-2,10,10,120,404,524,404,delta_alt,524,464.3810848404886,120,60.3810848404886,-59.6189151595114,59.6189151595114,3554.415044797019,404,14400,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,614,8,18,47,8,137,-15,-14,-7,35,101,12,505,517,505,delta_alt,517,489.8854230643145,12,-15.11457693568548,-27.11457693568548,27.11457693568548,735.2002824012069,505,144,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,622,4,8,26,5,136,-12,-15,-16,15,50,4,520,524,520,delta_alt,524,524.8272317042936,4,4.827231704293581,0.8272317042935811,0.8272317042935811,0.6843122925884627,520,16,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,623,1,5,17,0,138,-7,-10,-13,10,32,9,524,533,524,delta_alt,533,549.9059254511923,9,25.90592545119227,16.90592545119227,16.90592545119227,285.8103153612707,524,81,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,622,-1,0,8,-3,137,-6,-8,-11,6,21,17,526,543,526,delta_alt,543,551.7051439534742,17,25.70514395347425,8.705143953474249,8.705143953474249,75.77953125070927,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,621,-1,-1,-1,-14,134,-6,-7,-9,1,7,33,527,560,527,delta_alt,560,548.5206907163736,33,21.52069071637357,-11.47930928362643,11.47930928362643,131.7745416291521,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,619,-2,-3,-4,-40,133,-6,-7,-8,-1,2,36,526,562,526,delta_alt,562,531.8583821446956,36,5.858382144695611,-30.14161785530439,30.14161785530439,908.5171269352044,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,615,-4,-6,-7,-36,133,-8,-6,-7,-3,-2,28,524,552,524,delta_alt,552,519.4567490139232,28,-4.543250986076828,-32.54325098607683,32.54325098607683,1059.06318474279,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,669,14,28,51,13,126,-10,-11,-12,15,16,-15,533,518,533,delta_alt,518,520.3390692760846,-15,-12.66093072391538,2.339069276084615,2.339069276084615,5.471245078323005,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,678,1,9,37,1,125,-8,-9,-11,20,35,-14,553,539,553,delta_alt,539,531.8629512829827,-14,-21.13704871701725,-7.137048717017251,7.137048717017251,50.93746438907759,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,659,-19,-18,4,-18,123,-10,-10,-11,17,36,-16,560,544,560,delta_alt,544,515.1726158706115,-16,-44.82738412938852,-28.82738412938852,28.82738412938852,831.0180757433211,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,633,-26,-45,-36,-24,123,-9,-10,-10,9,29,-16,562,546,562,delta_alt,546,508.8517376009265,-16,-53.14826239907347,-37.14826239907347,37.14826239907347,1379.993399270416,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,594,-3,-11,-39,-8,122,-7,-9,-9,-26,-52,9,510,519,510,delta_alt,519,474.1793078271909,9,-35.82069217280912,-44.82069217280912,44.82069217280912,2008.894446849712,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,659,15,26,65,1,119,-6,-7,-7,21,8,-23,518,495,518,delta_alt,495,515.2215335406992,-23,-2.77846645930083,20.22153354069917,20.22153354069917,408.9104187376215,518,529,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,648,-10,-15,4,9,117,-6,-6,-6,15,40,-78,544,466,544,delta_alt,466,506.2817903449049,-78,-37.71820965509505,40.28179034490495,40.28179034490495,1622.622633390878,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,639,-9,-19,-20,17,116,-7,-7,-7,7,28,-85,546,461,546,delta_alt,461,533.2384674063278,-85,-12.7615325936722,72.2384674063278,72.2384674063278,5218.396173215084,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,627,-12,-21,-36,3,116,-7,-7,-7,-4,11,-79,540,461,540,delta_alt,461,508.1844427505888,-79,-31.8155572494112,47.1844427505888,47.1844427505888,2226.371637683592,540,6241,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,452,7,19,90,6,101,22,17,12,51,65,160,336,496,336,delta_alt,496,504.492520390181,160,168.492520390181,8.492520390180971,8.492520390180971,72.12290257763955,336,25600,3,Teste
2,3,Teste,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,461,9,16,61,7,106,27,27,22,64,90,142,367,509,367,delta_alt,509,555.1696772897556,142,188.1696772897556,46.16967728975555,46.16967728975555,2131.63910104017,367,20164,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,475,14,23,42,13,114,35,35,35,51,102,158,387,545,387,delta_alt,545,594.8074936068058,158,207.8074936068058,49.80749360680579,49.80749360680579,2480.786419392,387,24964,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,493,18,32,48,18,119,39,40,40,33,97,225,400,625,400,delta_alt,625,618.4394020184659,225,218.4394020184659,-6.560597981534102,6.560597981534102,43.04144587530933,400,50625,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,511,18,36,59,19,121,33,41,42,39,90,273,426,699,426,delta_alt,699,678.3882030540069,273,252.3882030540069,-20.61179694599309,20.61179694599309,424.8461733428501,426,74529,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,525,14,32,64,14,123,34,35,43,46.60000000000002,79.60000000000002,323.4,446.6,770,446.6,delta_alt,770,660.2551076971878,323.4,213.6551076971878,-109.7448923028122,109.7448923028122,12043.94138655585,446.6,104587.56,3,Teste
