EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-48,648,-15,-18,29140,-11,502,544,502,504.9017063747145,2.901706374714536,2.901706374714536,8.419899885058975,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-67,639,-19,-10,29142,-9,495,546,495,523.649074122448,28.64907412244804,28.64907412244804,820.769448073522,546,2601,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-73,627,-21,7,29144,-5,487,540,487,507.4755697016756,20.47556970167557,20.47556970167557,419.2489546081745,540,2809,2,Validacao
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,8,452,19,-3,28983,42,491,336,491,366.3221424582522,-124.6778575417478,124.6778575417478,15544.56816120036,336,24025,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,8,461,16,5,29011,73,489,367,489,394.6752982318089,-94.32470176819106,94.32470176819106,8897.149363658185,367,14884,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,24,475,23,13,29055,121,486,387,486,411.3876404026009,-74.61235959739906,74.61235959739906,5567.004204691588,387,9801,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,47,493,32,16,29114,184,489,400,489,456.676209632367,-32.32379036763302,32.32379036763302,1044.827423730685,400,7921,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,82,511,36,17,29151,226,496,426,496,591.9230070605951,95.92300706059507,95.92300706059507,9201.223283546971,426,4900,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,114,525,32,14,29162,242,509,446.6,509,621.2937613009649,112.2937613009649,112.2937613009649,12609.88882711808,446.6,3893.759999999997,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,155,532,21,8,29166,250,545,465,545,656.4651617106994,111.4651617106994,111.4651617106994,12424.48227519236,465,6400,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,201,529,4,-3,29167,252,625,483,625,709.3861685044734,84.3861685044734,84.3861685044734,7121.025434865379,483,20164,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,260,522,-10,-9,29168,251,699,491,699,737.1212816355179,38.1212816355179,38.1212816355179,1453.232113534475,491,43264,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,274,520,-9,-6,29170,249,770,489,770,714.5487325325269,-55.45126746747314,55.45126746747314,3074.843063749246,489,78961,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,275,525,3,-2,29174,247,834,486,834,730.8933874082188,-103.1066125917812,103.1066125917812,10630.97356015165,486,121104,2,Validacao
2,2,Validacao,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,288,545,25,-18,29176,241,867,489,867,819.785415685198,-47.21458431480198,47.21458431480198,2229.216972019545,489,142884,2,Validacao
2,2,Validacao,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,284,604,79,26,29180,233,880,496,880,846.572325579712,-33.42767442028799,33.42767442028799,1117.409417148776,496,147456,2,Validacao
2,2,Validacao,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,284,709,164,93,29184,221,886,509,886,875.8531689369923,-10.14683106300765,10.14683106300765,102.958180621217,509,142129,2,Validacao
2,2,Validacao,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,283,800,196,84,29188,205,888,545,888,1033.104207627419,145.1042076274193,145.1042076274193,21055.23107118122,545,117649,2,Validacao
2,2,Validacao,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,292,875,166,66,29191,180,888,625,888,1132.118425548754,244.118425548754,244.118425548754,59593.80569240254,625,69169,2,Validacao
2,2,Validacao,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,264,978,178,89,29192,137,883,699,883,1153.333119723715,270.3331197237148,270.3331197237148,73079.99561955634,699,33856,2,Validacao
2,2,Validacao,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,236,1017,142,21,29192,78,881,770,881,1108.237652496236,227.2376524962363,227.2376524962363,51636.95071200022,770,12321,2,Validacao
2,2,Validacao,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,203,1027,49,-8,29192,41,877,834,877,947.9504086127788,70.9504086127788,70.9504086127788,5033.960482320276,834,1849,2,Validacao
2,2,Validacao,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,171,1031,14,-10,29191,29,874,867,874,956.3662818137029,82.36628181370293,82.36628181370293,6784.20437981433,867,49,2,Validacao
2,2,Validacao,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,129,1036,9,-2,29191,25,881,880,881,947.003114422093,66.00311442209295,66.00311442209295,4356.411113415894,880,1,2,Validacao
2,2,Validacao,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,81,1036,5,3,29190,23,888,886,888,887.6094936380968,-0.3905063619032489,0.3905063619032489,0.1524952186869112,886,4,2,Validacao
2,2,Validacao,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,21,1037,1,8,29189,21,893,888,893,815.3772312967551,-77.6227687032449,77.6227687032449,6025.294221157456,888,25,2,Validacao
2,2,Validacao,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,12,1029,-7,-6,29189,19,881,888,881,807.1903388790079,-73.80966112099213,73.80966112099213,5447.866074795697,888,49,2,Validacao
2,2,Validacao,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-10,1027,-10,-7,29189,15,868,883,868,795.2801733518078,-72.71982664819222,72.71982664819222,5288.173187743128,883,225,2,Validacao
2,2,Validacao,2023,6,16,19,0,202306161900,2023-06-16 19:00,881,-2,74.45382284382285,14986,-22,1023,-6,-24,29188,12,856,881,856,805.2426809902424,-50.75731900975757,50.75731900975757,2576.305433058297,881,625,2,Validacao
2,2,Validacao,2023,6,16,20,0,202306162000,2023-06-16 20:00,877,-4,72.73587412587413,14981,-21,1026,-1,-56,29187,7,843,877,843,814.8091468417256,-28.19085315827442,28.19085315827442,794.7242017913909,877,1156,2,Validacao
2,2,Validacao,2023,6,16,21,0,202306162100,2023-06-16 21:00,874,-3,71.02602564102564,14976,-26,1054,31,-77,29185,1,822,874,822,827.9921694841321,5.992169484132091,5.992169484132091,35.90609512656386,874,2704,2,Validacao
2,2,Validacao,2023,6,16,22,0,202306162200,2023-06-16 22:00,881,7,68.46448717948718,14968,-31,1057,31,-88,29185,-3,801,881,801,839.915388134535,38.91538813453496,38.91538813453496,1514.407433661505,881,6400,2,Validacao
2,2,Validacao,2023,6,16,23,0,202306162300,2023-06-16 23:00,888,7,64.91483682983682,14973,-34,1047,-7,-85,29185,-6,787,888,787,796.909361034483,9.909361034483027,9.909361034483027,98.19543611173052,888,10201,2,Validacao
2,2,Validacao,2023,6,17,0,0,202306170000,2023-06-17 00:00,893,5,60.5882634032634,14985,-8,1020,-37,-130,29183,-9,771,893,771,765.3721216138259,-5.627878386174075,5.627878386174075,31.67301512956531,893,14884,2,Validacao
2,2,Validacao,2023,6,17,1,0,202306170100,2023-06-17 01:00,881,-12,56.44886946386946,14991,2,1012,-35,-47,29182,-10,754,881,754,750.3373746964832,-3.662625303516847,3.662625303516847,13.41482411396188,881,16129,2,Validacao
2,2,Validacao,2023,6,17,2,0,202306170200,2023-06-17 02:00,868,-13,53.13278554778555,14984,-8,996,-24,-26,29181,-11,742,868,742,744.808800872169,2.808800872168945,2.808800872168945,7.889362339497025,868,15876,2,Validacao
2,2,Validacao,2023,6,17,3,0,202306170300,2023-06-17 03:00,856,-12,48.35020979020979,14998,4,975,-37,-25,29180,-11,735,856,735,729.569904532112,-5.430095467888009,5.430095467888009,29.4859367903779,856,14641,2,Validacao
2,2,Validacao,2023,6,17,4,0,202306170400,2023-06-17 04:00,843,-13,42.78237762237762,15002,7,940,-56,-40,29179,-12,728,843,728,710.8832351678554,-17.11676483214455,17.11676483214455,292.9836383189406,843,13225,2,Validacao
2,2,Validacao,2023,6,17,8,0,202306170800,2023-06-17 08:00,771,-16,28.30067599067599,14990,2,877,-39,-12,29174,-15,681,771,681,655.2965115504687,-25.70348844953128,25.70348844953128,660.6693184751879,771,8100,2,Validacao
2,2,Validacao,2023,6,17,9,0,202306170900,2023-06-17 09:00,754,-17,27.16734265734265,14981,-5,869,-22,-4,29172,-16,666,754,666,640.8072438523149,-25.19275614768515,25.19275614768515,634.6749623167277,754,7744,2,Validacao
2,2,Validacao,2023,6,17,10,0,202306171000,2023-06-17 10:00,742,-12,25.55900932400932,14986,5,867,-10,-5,29171,-16,654,742,654,644.0558760022557,-9.944123997744327,9.944123997744327,98.88560208251462,742,7744,2,Validacao
2,2,Validacao,2023,6,17,11,0,202306171100,2023-06-17 11:00,735,-7,24.90900932400932,14986,10,858,-11,-37,29170,-15,646,735,646,635.712532337171,-10.28746766282904,10.28746766282904,105.8319909137533,735,7921,2,Validacao
2,2,Validacao,2023,6,17,12,0,202306171200,2023-06-17 12:00,728,-7,23.76734265734265,14981,13,850,-17,-11,29168,-17,641,728,641,637.3740691840188,-3.625930815981178,3.625930815981178,13.14737428228193,728,7569,2,Validacao
2,2,Validacao,2023,6,17,13,0,202306171300,2023-06-17 13:00,721,-7,22.49234265734265,14981,8,826,-32,-14,29167,-18,638,721,638,632.4777966396316,-5.522203360368394,5.522203360368394,30.49472995326398,721,6889,2,Validacao
2,2,Validacao,2023,6,17,14,0,202306171400,2023-06-17 14:00,711,-10,20.64234265734265,14985,0,809,-41,10,29165,-18,632,711,632,630.3545649348598,-1.645435065140191,1.645435065140191,2.707456553592904,711,6241,2,Validacao
2,2,Validacao,2023,6,17,20,0,202306172000,2023-06-17 20:00,641,-5,6.572342657342655,14987,-11,753,-10,9,29157,-19,594,641,594,583.0817231772446,-10.91827682275539,10.91827682275539,119.2087687783175,641,2209,2,Validacao
2,2,Validacao,2023,6,17,21,0,202306172100,2023-06-17 21:00,638,-3,6.205675990675988,14987,-8,745,-13,17,29156,-19,588,638,588,588.7879124983094,0.7879124983094243,0.7879124983094243,0.6208061049921986,638,2500,2,Validacao
