EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
3,3,Teste,2023,7,13,4,0,202307130400,2023-07-13 04:00,1179,34,93.83141025641025,15166,265,1434,65,11,29251,93,1239,1179,1239,1518.588373159023,279.5883731590227,279.5883731590227,78169.65840570892,1179,3600,3,Teste
3,3,Teste,2023,7,13,5,0,202307130500,2023-07-13 05:00,1206,27,91.36833333333335,15165,235,1452,44,-4,29249,77,1230,1206,1230,1455.925822086636,225.9258220866363,225.9258220866363,51042.47708552246,1206,576,3,Teste
3,3,Teste,2023,7,13,6,0,202307130600,2023-07-13 06:00,1226,20,90.75166666666667,15163,198,1460,26,-25,29245,57,1223,1226,1223,1384.052153515256,161.0521535152559,161.0521535152559,25937.79615190155,1226,9,3,Teste
3,3,Teste,2023,7,13,8,0,202307130800,2023-07-13 08:00,1247,7,90.69409090909092,15155,160,1457,-3,-44,29240,18,1198,1247,1198,1298.116287225985,100.1162872259847,100.1162872259847,10023.27096791587,1247,2401,3,Teste
3,3,Teste,2023,7,13,9,0,202307130900,2023-07-13 09:00,1250,3,90.99257575757575,15151,153,1449,-10,-68,29238,-2,1180,1250,1180,1288.801532551069,108.8015325510694,108.8015325510694,11837.77348546141,1250,4900,3,Teste
3,3,Teste,2023,7,13,10,0,202307131000,2023-07-13 10:00,1249,-1,91.08744755244756,15144,145,1450,-7,-85,29236,-20,1163,1249,1163,1279.245464969425,116.2454649694246,116.2454649694246,13513.00812595772,1249,7396,3,Teste
3,3,Teste,2023,7,13,11,0,202307131100,2023-07-13 11:00,1245,-4,91.32462703962703,15137,100,1446,-3,-118,29236,-33,1140,1245,1140,1235.03644064892,95.03644064892023,95.03644064892023,9031.925051215738,1245,11025,3,Teste
3,3,Teste,2023,7,13,12,0,202307131200,2023-07-13 12:00,1239,-6,91.598986013986,15132,41,1432,-18,-206,29236,-39,1117,1239,1117,1135.413287722286,18.41328772228644,18.41328772228644,339.0491647437046,1239,14884,3,Teste
3,3,Teste,2023,7,13,13,0,202307131300,2023-07-13 13:00,1230,-9,91.76052447552446,15124,-15,1427,-19,-106,29234,-40,1093,1230,1093,1093.405194208971,0.4051942089711247,0.4051942089711247,0.1641823469837355,1230,18769,3,Teste
3,3,Teste,2023,7,13,14,0,202307131400,2023-07-13 14:00,1223,-7,91.97590909090908,15114,-46,1409,-23,-81,29234,-35,1068,1223,1068,1060.320430094925,-7.679569905074686,7.679569905074686,58.97579392692882,1223,24025,3,Teste
3,3,Teste,2023,7,13,15,0,202307131500,2023-07-13 15:00,1211,-12,92.09770396270396,15107,-61,1388,-39,-67,29233,-33,1047.6176,1211,1047.6176,1018.167191636567,-29.45040836343287,29.45040836343287,867.3265527729568,1211,26693.80862975999,3,Teste
3,3,Teste,2023,7,13,16,0,202307131600,2023-07-13 16:00,1198,-13,91.85988344988345,15097,-71,1366,-43,-66,29231,-30,1031,1198,1031,1003.917102866249,-27.0828971337512,27.0828971337512,733.4833171573491,1198,27889,3,Teste
3,3,Teste,2023,7,13,17,0,202307131700,2023-07-13 17:00,1180,-18,88.698344988345,15090,-78,1341,-47,-64,29232,-24,1020,1180,1020,993.0214599931693,-26.97854000683071,26.97854000683071,727.8416209001653,1180,25600,3,Teste
3,3,Teste,2023,7,17,0,0,202307170000,2023-07-17 00:00,515,-3,0.1276923076923077,14900,-27,603,-16,10,29140,-6,469,515,469,468.3434200011785,-0.6565799988214849,0.6565799988214849,0.4310972948524211,515,2116,3,Teste
3,3,Teste,2023,7,17,1,0,202307170100,2023-07-17 01:00,510,-5,0.1123076923076923,14897,-45,596,-16,33,29139,-6,464,510,464,469.8487101459954,5.848710145995369,5.848710145995369,34.20741037186917,510,2116,3,Teste
3,3,Teste,2023,7,17,2,0,202307170200,2023-07-17 02:00,504,-6,0.1123076923076923,14894,-52,590,-13,20,29139,-5,460,504,460,459.3798982713124,-0.6201017286875867,0.6201017286875867,0.3845261539213334,504,1936,3,Teste
4,1,Treino,2023,9,3,13,0,202309031300,2023-09-03 13:00,306,12,69.86923076923078,14731,17,410,29,11,29103,57,434,306,434,362.3438880747972,-71.65611192520282,71.65611192520282,5134.598376237194,306,16384,1,Treino
4,1,Treino,2023,9,3,14,0,202309031400,2023-09-03 14:00,320,14,65.06153846153846,14755,47,425,31,13,29114,63,441,320,441,379.2705533544876,-61.72944664551244,61.72944664551244,3810.524583161167,320,14641,1,Treino
4,1,Treino,2023,9,3,15,0,202309031500,2023-09-03 15:00,338,18,61.88461538461538,14770,59,464,54,50,29124,68,450,338,450,403.0603265155659,-46.93967348443414,46.93967348443414,2203.332946825289,338,12544,1,Treino
4,1,Treino,2023,9,3,16,0,202309031600,2023-09-03 16:00,357,19,59.23076923076923,14787,74,487,62,38,29130,69,446,357,446,430.9126812506867,-15.08731874931334,15.08731874931334,227.6271870433818,357,7921,1,Treino
4,1,Treino,2023,9,3,17,0,202309031700,2023-09-03 17:00,383,26,58.0076923076923,14800,85,496,32,17,29135,71,447,383,447,462.9009372058041,15.9009372058041,15.9009372058041,252.8398040229251,383,4096,1,Treino
4,1,Treino,2023,9,3,18,0,202309031800,2023-09-03 18:00,410,27,57.67692307692307,14815,99,499,12,4,29138,71,450,410,450,496.9872834361753,46.98728343617529,46.98728343617529,2207.804804711473,410,1600,1,Treino
4,1,Treino,2023,9,3,19,0,202309031900,2023-09-03 19:00,426,16,57.69230769230769,14832,114,497,1,-2,29140,71,458,426,458,513.9780129554515,55.9780129554515,55.9780129554515,3133.537934440697,426,1024,1,Treino
4,1,Treino,2023,9,3,20,0,202309032000,2023-09-03 20:00,432,6,57.80769230769231,14848,130,507,8,5,29140,70,476,432,476,513.1743279769894,37.17432797698939,37.17432797698939,1381.930660540776,432,1936,1,Treino
4,1,Treino,2023,9,3,21,0,202309032100,2023-09-03 21:00,434,2,58.46923076923077,14860,143,507,10,-4,29142,70,501,434,501,520.5394614500071,19.53946145000714,19.53946145000714,381.7905537563151,434,4489,1,Treino
4,1,Treino,2023,9,3,22,0,202309032200,2023-09-03 22:00,441,7,62.48461538461538,14864,157,509,2,-9,29144,71,540,441,540,560.9617500445125,20.96175004451254,20.96175004451254,439.3949649286216,441,9801,1,Treino
4,1,Treino,2023,9,3,23,0,202309032300,2023-09-03 23:00,450,9,69.33846153846154,14867,167,511,4,-13,29150,76,574,450,574,615.7605585895842,41.76055858958421,41.76055858958421,1743.944253714095,450,15376,1,Treino
4,1,Treino,2023,9,4,0,0,202309040000,2023-09-04 00:00,446,-4,73.1923076923077,14867,167,515,6,-6,29159,81,605,446,605,608.9356377663541,3.935637766354148,3.935637766354148,15.48924462795307,446,25281,1,Treino
4,1,Treino,2023,9,4,1,0,202309040100,2023-09-04 01:00,447,1,77.3923076923077,14868,168,523,12,1,29162,78,636,447,636,645.9849353519869,9.984935351986906,9.984935351986906,99.69893398335788,447,35721,1,Treino
4,1,Treino,2023,9,4,2,0,202309040200,2023-09-04 02:00,450,3,82.62307692307692,14873,173,540,25,4,29168,77,678,450,678,691.2671347686289,13.26713476862892,13.26713476862892,176.0168649689624,450,51984,1,Treino
4,1,Treino,2023,9,4,3,0,202309040300,2023-09-04 03:00,458,8,92.6923076923077,14881,150,562,39,6,29175,72,756,458,756,720.906482963689,-35.09351703631103,35.09351703631103,1231.554937977852,458,88804,1,Treino
4,1,Treino,2023,9,4,4,0,202309040400,2023-09-04 04:00,476,18,99.16730769230769,14893,138,592,52,15,29192,78,919,476,919,797.4678830484324,-121.5321169515676,121.5321169515676,14770.05545072949,476,196249,1,Treino
4,1,Treino,2023,9,4,5,0,202309040500,2023-09-04 05:00,501,25,107.2621794871795,14918,148,626,64,-5,29229,105,1133,501,1133,1008.589436029494,-124.4105639705061,124.4105639705061,15477.9884274594,501,399424,1,Treino
4,1,Treino,2023,9,4,6,0,202309040600,2023-09-04 06:00,540,39,115.8871794871795,14958,171,660,68,11,29286,156,1326,540,1326,1300.460001138165,-25.5399988618351,25.5399988618351,652.2915418625383,540,617796,1,Treino
4,1,Treino,2023,9,4,7,0,202309040700,2023-09-04 07:00,574,34,128.0955128205128,15007,207,691,65,22,29348,213,1547,574,1547,1573.098307727905,26.09830772790451,26.09830772790451,681.1216662604004,574,946729,1,Treino
4,1,Treino,2023,9,4,8,0,202309040800,2023-09-04 08:00,605,31,136.2538461538462,15048,233,732,72,38,29385,247,1748,605,1748,1708.001898243995,-39.9981017560051,39.9981017560051,1599.848144083738,605,1306449,1,Treino
4,1,Treino,2023,9,4,9,0,202309040900,2023-09-04 09:00,636,31,142.6705128205128,15188,356,804,113,74,29415,275,1905,636,1905,1911.223970532213,6.223970532212661,6.223970532212661,38.73780918585155,636,1610361,1,Treino
4,1,Treino,2023,9,4,10,0,202309041000,2023-09-04 10:00,678,42,147.6455128205128,15256,408,941,209,127,29439,299,2033,678,2033,2031.564207163399,-1.435792836600967,1.435792836600967,2.061501069634652,678,1836025,1,Treino
4,1,Treino,2023,9,4,11,0,202309041100,2023-09-04 11:00,756,78,155.7091491841492,15312,452,1224,420,283,29440,298,2135,756,2135,2106.433135285723,-28.56686471427656,28.56686471427656,816.0657596037794,756,1901641,1,Treino
4,1,Treino,2023,9,4,12,0,202309041200,2023-09-04 12:00,919,163,161.9091491841492,15361,497,1462,521,236,29435,291,2207,919,2207,2195.756538173997,-11.24346182600266,11.24346182600266,126.415433832779,919,1658944,1,Treino
4,1,Treino,2023,9,4,13,0,202309041300,2023-09-04 13:00,1133,214,169.9000582750583,15413,546,1708,484,244,29435,285,2277,1133,2277,2162.67410001846,-114.3258999815398,114.3258999815398,13070.41140658904,1133,1308736,1,Treino
4,1,Treino,2023,9,4,20,0,202309042000,2023-09-04 20:00,2207,72,168.7014502164502,15602,644,2704,146,25,29416,130,2282,2207,2282,2229.628981153008,-52.37101884699223,52.37101884699223,2742.723615072015,2207,5625,1,Treino
4,1,Treino,2023,9,4,21,0,202309042100,2023-09-04 21:00,2277,70,164.9822194472194,15595,588,2736,91,1,29409,61,2246.4477,2277,2246.4477,2201.39235646251,-45.05534353748999,45.05534353748999,2029.983981281241,2277,933.4430352899898,1,Treino
4,1,Treino,2023,9,4,22,0,202309042200,2023-09-04 22:00,2321,44,164.0860656010656,15578,530,2761,57,-16,29404,19,2209,2321,2209,2169.998265673364,-39.00173432663587,39.00173432663587,1521.135280485487,2321,12544,1,Treino
4,1,Treino,2023,9,4,23,0,202309042300,2023-09-04 23:00,2357,36,160.2072194472194,15555,367,2754,18,-79,29401,-14,2167,2357,2167,2139.107584267415,-27.8924157325846,27.8924157325846,777.9868553993326,2357,36100,1,Treino
4,1,Treino,2023,9,5,0,0,202309050000,2023-09-05 00:00,2365,8,155.845680985681,15520,264,2735,-26,-156,29394,-45,2124,2365,2124,2093.81523466011,-30.18476533988951,30.18476533988951,911.120058624195,2365,58081,1,Treino
4,1,Treino,2023,9,5,1,0,202309050100,2023-09-05 01:00,2357,-8,153.8390875790876,15509,197,2696,-58,-322,29390,-50,2081,2357,2081,2056.186792951796,-24.81320704820382,24.81320704820382,615.6952440170318,2357,76176,1,Treino
4,1,Treino,2023,9,5,2,0,202309050200,2023-09-05 02:00,2341,-16,152.0640875790876,15480,119,2642,-93,-292,29386,-49,2044,2341,2044,2014.202737181281,-29.79726281871922,29.79726281871922,887.8768714878267,2341,88209,1,Treino
4,1,Treino,2023,9,5,3,0,202309050300,2023-09-05 03:00,2312,-29,150.7140875790876,15460,47,2586,-110,-302,29385,-50,1999,2312,1999,1972.541586830512,-26.45841316948759,26.45841316948759,700.0476274473141,2312,97969,1,Treino
4,1,Treino,2023,9,5,4,0,202309050400,2023-09-05 04:00,2282,-30,150.6275491175491,15439,-8,2531,-111,-338,29381,-57,1948,2282,1948,1936.732792324079,-11.26720767592087,11.26720767592087,126.9499688123302,2282,111556,1,Treino
4,1,Treino,2023,9,5,5,0,202309050500,2023-09-05 05:00,2246.4477,-35.55229999999983,150.7217798867799,15419,-71,2489,-97,-237,29374,-63,1891,2246.4477,1891,1862.617528470473,-28.38247152952658,28.38247152952658,805.5646901243871,2246.4477,126343.0674352901,1,Treino
4,1,Treino,2023,9,5,6,0,202309050600,2023-09-05 06:00,2209,-37.44770000000017,150.7160106560107,15390,-136,2428,-103,-208,29367,-66,1829,2209,1829,1769.659720535658,-59.34027946434185,59.34027946434185,3521.268766906191,2209,144400,1,Treino
4,1,Treino,2023,9,5,13,0,202309051300,2023-09-05 13:00,1891,-57,131.0256260406261,15207,-348,2008,-132,-65,29328,-73,1441,1891,1441,1287.568468999339,-153.4315310006609,153.4315310006609,23541.23470520677,1891,202500,1,Treino
4,1,Treino,2023,9,5,14,0,202309051400,2023-09-05 14:00,1829,-62,125.7948568098568,15185,-335,1949,-131,-40,29321,-73,1227,1829,1227,1225.772807580235,-1.227192419765288,1.227192419765288,1.506001235129383,1829,362404,1,Treino
4,1,Treino,2023,9,5,15,0,202309051500,2023-09-05 15:00,1765,-64,114.0871645021645,15165,-344,1895,-113,-15,29316,-74,1192,1765,1192,1167.483367479665,-24.51663252033518,24.51663252033518,601.0652701371565,1765,328329,1,Treino
4,1,Treino,2023,9,5,16,0,202309051600,2023-09-05 16:00,1707,-58,107.6371645021645,15139,-341,1858,-91,17,29310,-76,1167,1707,1167,1133.819377891802,-33.18062210819835,33.18062210819835,1100.953683487061,1707,291600,1,Treino
4,1,Treino,2023,9,5,17,0,202309051700,2023-09-05 17:00,1652,-55,97.90383116883119,15118,-342,1774,-121,-28,29304,-81,1145,1652,1145,1145.297519760499,0.2975197604987443,0.2975197604987443,0.08851800788723016,1652,257049,1,Treino
4,1,Treino,2023,9,5,18,0,202309051800,2023-09-05 18:00,1592,-60,89.27883116883119,15090,-349,1727,-131,8,29298,-83,1116,1592,1116,1049.147600759437,-66.85239924056282,66.85239924056282,4469.243284219604,1592,226576,1,Treino
4,1,Treino,2023,9,5,19,0,202309051900,2023-09-05 19:00,1538,-54,77.07049783549786,15080,-339,1659,-115,-26,29292,-82,1078,1538,1078,1070.915082698781,-7.084917301219093,7.084917301219093,50.19605316511364,1538,211600,1,Treino
4,1,Treino,2023,9,5,20,0,202309052000,2023-09-05 20:00,1481,-57,68.91216450216452,15091,-299,1619,-108,21,29285,-82,1036,1481,1036,1003.330993586655,-32.6690064133453,32.6690064133453,1067.263980035196,1481,198025,1,Treino
4,1,Treino,2023,9,5,21,0,202309052100,2023-09-05 21:00,1441,-40,62.49549783549784,15083,-279,1579,-80,1,29278,-85,1005,1441,1005,1078.377979384734,73.37797938473409,73.37797938473409,5384.327858586461,1441,190096,1,Treino
4,1,Treino,2023,9,5,22,0,202309052200,2023-09-05 22:00,1227,-214,57.52049783549783,15107,-223,1515,-104,8,29272,-84,985,1227,985,979.1016555607243,-5.898344439275661,5.898344439275661,34.79046712433411,1227,58564,1,Treino
4,1,Treino,2023,9,5,23,0,202309052300,2023-09-05 23:00,1192,-35,49.45686147186147,15098,-209,1442,-137,-8,29264,-86,969,1192,969,925.6605522888287,-43.33944771117126,43.33944771117126,1878.307727909348,1192,49729,1,Treino
4,1,Treino,2023,9,6,0,0,202309060000,2023-09-06 00:00,1167,-25,43.25686147186146,15073,-184,1397,-118,2,29259,-84,960,1167,960,919.0853583465561,-40.91464165344394,40.91464165344394,1674.00790162973,1167,42849,1,Treino
4,1,Treino,2023,9,6,1,0,202309060100,2023-09-06 01:00,1145,-22,35.26595238095237,15040,-217,1377,-65,43,29252,-87,944,1145,944,912.982658074421,-31.01734192557899,31.01734192557899,962.0755001282802,1145,40401,1,Treino
4,1,Treino,2023,9,6,2,0,202309060200,2023-09-06 02:00,1116,-29,33.05595238095238,15035,-189,1363,-34,46,29247,-86,921,1116,921,879.0481647322657,-41.95183526773428,41.95183526773428,1759.956482331114,1116,38025,1,Treino
4,1,Treino,2023,9,6,3,0,202309060300,2023-09-06 03:00,1078,-38,28.8781746031746,15019,-188,1334,-43,43,29242,-86,894,1078,894,812.2705184555816,-81.72948154441838,81.72948154441838,6679.708153519424,1078,33856,1,Treino
4,1,Treino,2023,9,6,4,0,202309060400,2023-09-06 04:00,1036,-42,26.50039682539682,15001,-184,1291,-72,16,29238,-83,870,1036,870,764.5917744876145,-105.4082255123855,105.4082255123855,11110.89400566991,1036,27556,1,Treino
4,1,Treino,2023,9,6,5,0,202309060500,2023-09-06 05:00,1005,-31,18.38928571428571,14984,-181,1239,-95,2,29234,-82,852,1005,852,773.2887505803294,-78.7112494196706,78.7112494196706,6195.460785205594,1005,23409,1,Treino
4,1,Treino,2023,9,6,6,0,202309060600,2023-09-06 06:00,985,-20,7.439285714285716,14962,-177,1193,-98,-9,29228,-82,822,985,822,774.4298803831259,-47.57011961687408,47.57011961687408,2262.916280363708,985,26569,1,Treino
4,1,Treino,2023,9,6,7,0,202309060700,2023-09-06 07:00,969,-16,7.410714285714287,14958,-160,1170,-69,61,29224,-80,786,969,786,798.8753163079334,12.87531630793342,12.87531630793342,165.7737700293362,969,33489,1,Treino
4,1,Treino,2023,9,6,8,0,202309060800,2023-09-06 08:00,960,-9,7.410714285714287,14970,-120,1155,-38,32,29220,-78,765,960,765,791.7777835083335,26.77778350833353,26.77778350833353,717.049689619179,960,38025,1,Treino
4,1,Treino,2023,9,6,9,0,202309060900,2023-09-06 09:00,944,-16,7.260714285714287,14962,-118,1151,-19,64,29218,-74,751,944,751,775.6098243398305,24.60982433983054,24.60982433983054,605.6434540373156,944,37249,1,Treino
4,1,Treino,2023,9,6,10,0,202309061000,2023-09-06 10:00,921,-23,2.710714285714285,14948,-143,1134,-21,23,29214,-71,746.88643325,921,746.88643325,726.423913757073,-20.46251949292696,20.46251949292696,418.7147039984158,921,30315.53412640671,1,Treino
4,1,Treino,2023,9,6,11,0,202309061100,2023-09-06 11:00,894,-27,0.7357142857142859,14967,-116,1108,-43,14,29211,-67,743.47807689,894,743.47807689,691.0677174453984,-52.41035944460157,52.41035944460157,2746.845777112337,894,22656.84933673275,1,Treino
4,1,Treino,2023,9,6,12,0,202309061200,2023-09-06 12:00,870,-24,0.6357142857142859,14963,-144,1075,-59,31,29208,-64,740.59238581,870,740.59238581,702.6279949551533,-37.96439085484667,37.96439085484667,1441.294972979566,870,16746.33061034789,1,Treino
4,1,Treino,2023,9,6,13,0,202309061300,2023-09-06 13:00,852,-18,0.55,14953,-145,1036,-72,34,29204,-60,737,852,737,716.7109164800522,-20.28908351994778,20.28908351994778,411.6469100794166,852,13225,1,Treino
4,1,Treino,2023,9,6,14,0,202309061400,2023-09-06 14:00,822,-30,0.4250000000000001,14960,-113,1019,-56,28,29202,-57,730,822,730,656.6932067604574,-73.30679323954257,73.30679323954257,5373.885935065045,822,8464,1,Treino
4,1,Treino,2023,9,6,15,0,202309061500,2023-09-06 15:00,786,-36,0.3750000000000001,15025,-15,991,-45,-8,29198,-54,723,786,723,635.0135611526339,-87.98643884736612,87.98643884736612,7741.613421041297,786,3969,1,Treino
4,1,Treino,2023,9,6,16,0,202309061600,2023-09-06 16:00,765,-21,0.3,15030,-5,932,-87,-45,29197,-50,712,765,712,611.7908211298362,-100.2091788701638,100.2091788701638,10041.87952983248,765,2809,1,Treino
4,1,Treino,2023,9,6,17,0,202309061700,2023-09-06 17:00,751,-14,0.175,15025,6,907,-84,4,29194,-48,703,751,703,652.4669254960427,-50.53307450395732,50.53307450395732,2553.591618822501,751,2304,1,Treino
4,1,Treino,2023,9,6,18,0,202309061800,2023-09-06 18:00,746.88643325,-4.113566750000018,0.15,15016,15,897,-35,33,29190,-48,696,746.88643325,696,674.1617309132682,-21.83826908673177,21.83826908673177,476.9099967045045,746.88643325,2589.429088906704,1,Treino
4,1,Treino,2023,9,6,19,0,202309061900,2023-09-06 19:00,743.47807689,-3.408356359999971,0.1,15008,24,894,-13,49,29189,-45,686,743.47807689,686,684.4054118979378,-1.594588102062175,1.594588102062175,2.542711215238251,743.47807689,3303.729322972753,1,Treino
4,1,Treino,2023,9,6,20,0,202309062000,2023-09-06 20:00,740.59238581,-2.885691080000015,0.07500000000000001,15002,40,895,-2,47,29186,-42,678,740.59238581,678,682.3591625428782,4.359162542878153,4.359162542878153,19.00229807523192,740.59238581,3917.806761387889,1,Treino
4,1,Treino,2023,9,6,21,0,202309062100,2023-09-06 21:00,737,-3.592385809999996,0.07500000000000001,14995,37,890,-4,18,29184,-40,669,737,669,655.8054496622993,-13.19455033770066,13.19455033770066,174.0961586141166,737,4624,1,Treino
4,1,Treino,2023,9,6,22,0,202309062200,2023-09-06 22:00,730,-7,0.05,14989,19,883,-12,8,29181,-39,657,730,657,630.8000242615626,-26.19997573843739,26.19997573843739,686.4387286947077,730,5329,1,Treino
4,1,Treino,2023,9,6,23,0,202309062300,2023-09-06 23:00,723,-7,0.05,14982,20,874,-16,-5,29180,-38,646,723,646,614.6187157408045,-31.38128425919547,31.38128425919547,984.7850017564292,723,5929,1,Treino
4,1,Treino,2023,9,7,0,0,202309070000,2023-09-07 00:00,712,-11,0.05,14977,29,864,-19,7,29178,-36,638,712,638,607.1549580985716,-30.84504190142843,30.84504190142843,951.4166099008756,712,5476,1,Treino
4,1,Treino,2023,9,7,1,0,202309070100,2023-09-07 01:00,703,-9,0.025,14970,3,854,-20,16,29175,-36,632,703,632,605.2983817887211,-26.70161821127886,26.70161821127886,712.9764151008986,703,5041,1,Treino
4,1,Treino,2023,9,7,2,0,202309070200,2023-09-07 02:00,696,-7,0.025,14966,3,844,-20,23,29173,-35,627,696,627,606.5031002011305,-20.49689979886955,20.49689979886955,420.1229013648986,696,4761,1,Treino
4,1,Treino,2023,9,7,3,0,202309070300,2023-09-07 03:00,686,-10,0.025,14960,7,834,-20,29,29171,-33,622,686,622,595.6407280580898,-26.35927194191015,26.35927194191015,694.8112173075717,686,4096,1,Treino
4,1,Treino,2023,9,7,4,0,202309070400,2023-09-07 04:00,678,-8,0,14992,32,819,-25,2,29169,-33,617,678,617,592.3615240914753,-24.6384759085247,24.6384759085247,607.0544950949519,678,3721,1,Treino
4,1,Treino,2023,9,7,5,0,202309070500,2023-09-07 05:00,669,-9,0,14997,-28,811,-23,20,29168,-30,611,669,611,601.3790042160291,-9.620995783970898,9.620995783970898,92.56355987518579,669,3364,1,Treino
4,1,Treino,2023,9,7,6,0,202309070600,2023-09-07 06:00,657,-12,0,14996,-34,800,-19,48,29167,-30,606,657,606,600.0440747791317,-5.955925220868266,5.955925220868266,35.47304523657471,657,2601,1,Treino
4,1,Treino,2023,9,7,7,0,202309070700,2023-09-07 07:00,646,-11,0,14992,-33,785,-26,10,29166,-28,600,646,600,579.0767797356675,-20.92322026433249,20.92322026433249,437.7811462297736,646,2116,1,Treino
4,1,Treino,2023,9,7,8,0,202309070800,2023-09-07 08:00,638,-8,0,14989,-27,770,-30,-5,29164,-26,595,638,595,570.4370769380142,-24.56292306198577,24.56292306198577,603.3371893490324,638,1849,1,Treino
4,1,Treino,2023,9,7,9,0,202309070900,2023-09-07 09:00,632,-6,0,14985,-23,760,-25,-7,29163,-26,590,632,590,566.4107145657608,-23.58928543423917,23.58928543423917,556.4543872980084,632,1764,1,Treino
4,1,Treino,2023,9,7,10,0,202309071000,2023-09-07 10:00,627,-5,0,14981,-21,756,-14,-5,29162,-24,585,627,585,561.4129927748393,-23.58700722516073,23.58700722516073,556.3469098397846,627,1764,1,Treino
4,1,Treino,2023,9,7,11,0,202309071100,2023-09-07 11:00,622,-5,0,14978,-17,748,-12,-3,29161,-23,579,622,579,557.685439798544,-21.31456020145595,21.31456020145595,454.3104765814898,622,1849,1,Treino
4,1,Treino,2023,9,7,12,0,202309071200,2023-09-07 12:00,617,-5,0,14974,-15,744,-12,3,29160,-21,575,617,575,554.6445184173004,-20.35548158269955,20.35548158269955,414.3456304636208,617,1764,1,Treino
4,1,Treino,2023,9,7,13,0,202309071300,2023-09-07 13:00,611,-6,0.025,14971,-11,736,-12,1,29159,-21,570,611,570,546.6441556592434,-23.35584434075656,23.35584434075656,545.4954648696503,611,1681,1,Treino
4,1,Treino,2023,9,7,14,0,202309071400,2023-09-07 14:00,606,-5,0.75,14968,-9,730,-14,4,29159,-19,566,606,566,546.1531120661203,-19.84688793387966,19.84688793387966,393.8989606599779,606,1600,1,Treino
4,1,Treino,2023,9,7,15,0,202309071500,2023-09-07 15:00,600,-6,1.275,14965,-5,724,-12,4,29158,-17,562,600,562,538.1472171219001,-23.8527828780999,23.8527828780999,568.9552510297758,600,1444,1,Treino
4,1,Treino,2023,9,7,16,0,202309071600,2023-09-07 16:00,595,-5,2.125,14962,-4,718,-12,4,29157,-16,560,595,560,535.5277793281847,-24.47222067181531,24.47222067181531,598.8895846100245,595,1225,1,Treino
4,1,Treino,2023,9,7,17,0,202309071700,2023-09-07 17:00,590,-5,2.725,14959,-1,709,-15,1,29156,-15,557,590,557,530.8935390696763,-26.10646093032369,26.10646093032369,681.5473023065174,590,1089,1,Treino
4,1,Treino,2023,9,7,18,0,202309071800,2023-09-07 18:00,585,-5,3.7,14956,-36,705,-13,11,29155,-14,555,585,555,535.3308742955436,-19.66912570445641,19.66912570445641,386.8745059777077,585,900,1,Treino
4,1,Treino,2023,9,7,19,0,202309071900,2023-09-07 19:00,579,-6,4.725,14953,-44,699,-10,2,29154,-14,555,579,555,525.4967514783168,-29.50324852168319,29.50324852168319,870.4416733322014,579,576,1,Treino
4,1,Treino,2023,9,7,20,0,202309072000,2023-09-07 20:00,575,-4,5.149999999999999,14951,-45,693,-12,5,29153,-14,557,575,557,528.8225751482923,-28.17742485170766,28.17742485170766,793.9672712736322,575,324,1,Treino
4,1,Treino,2023,9,7,21,0,202309072100,2023-09-07 21:00,570,-5,5.225,14948,-44,687,-12,9,29152,-14,564,570,564,523.2544303667678,-40.74556963323221,40.74556963323221,1660.201444736575,570,36,1,Treino
4,1,Treino,2023,9,7,22,0,202309072200,2023-09-07 22:00,566,-4,5.25,14945,-44,681,-12,9,29152,-12,572,566,572,522.053045060987,-49.94695493901304,49.94695493901304,2494.698307679799,566,36,1,Treino
4,1,Treino,2023,9,7,23,0,202309072300,2023-09-07 23:00,562,-4,6.05,14944,-41,676,-11,5,29151,-12,581,562,581,516.7458601509136,-64.25413984908641,64.25413984908641,4128.594487745954,562,361,1,Treino
4,1,Treino,2023,9,8,0,0,202309080000,2023-09-08 00:00,560,-2,9.7,14942,-39,672,-9,0,29151,-11,594,560,594,519.2681950263474,-74.73180497365263,74.73180497365263,5584.842674620052,560,1156,1,Treino
4,1,Treino,2023,9,8,1,0,202309080100,2023-09-08 01:00,557,-3,12.8875,14939,-39,666,-10,2,29151,-10,609,557,609,518.0104295590918,-90.98957044090821,90.98957044090821,8279.101929020997,557,2704,1,Treino
4,1,Treino,2023,9,8,2,0,202309080200,2023-09-08 02:00,555,-2,18.81607142857143,14938,-36,664,-8,2,29151,-9,626,555,626,521.401005821994,-104.598994178006,104.598994178006,10940.94958305054,555,5041,1,Treino
