EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,391,398,391,398,nivel_conv,391,352.3613700268758,-7,-45.63862997312424,-38.63862997312424,38.63862997312424,1492.943726200015,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,394,395,394,395,nivel_conv,394,354.3436016094086,-1,-40.65639839059139,-39.65639839059139,39.65639839059139,1572.629933313299,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,394,384,394,384,nivel_conv,394,365.4491301220276,10,-18.55086987797245,-28.55086987797245,28.55086987797245,815.1521707889143,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,396,381,396,381,nivel_conv,396,371.0223495731095,15,-9.977650426890534,-24.97765042689053,24.97765042689053,623.8830208479449,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,404,382,404,382,nivel_conv,404,378.2130714082414,22,-3.786928591758624,-25.78692859175862,25.78692859175862,664.9656861964584,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,526,394,526,394,nivel_conv,526,465.1770389105283,132,71.17703891052832,-60.82296108947168,60.82296108947168,3699.432595691385,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,527,394,527,394,nivel_conv,527,473.495899260081,133,79.49589926008099,-53.50410073991901,53.50410073991901,2862.688795987402,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,527,394,527,394,nivel_conv,527,489.7010983534701,133,95.70109835347012,-37.29890164652988,37.29890164652988,1391.20806403751,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,526,396,526,396,nivel_conv,526,532.3568614433098,130,136.3568614433098,6.356861443309754,6.356861443309754,40.40968740943816,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,524,404,524,404,nivel_conv,524,555.9557619131053,120,151.9557619131053,31.95576191310533,31.95576191310533,1021.170719447073,404,14400,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,543,526,543,526,nivel_conv,543,489.6023549075624,17,-36.39764509243759,-53.39764509243759,53.39764509243759,2851.308501417924,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,560,527,560,527,nivel_conv,560,483.944510597373,33,-43.05548940262702,-76.05548940262702,76.05548940262702,5784.43746827311,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,562,526,562,526,nivel_conv,562,493.4627066193651,36,-32.53729338063488,-68.53729338063488,68.53729338063488,4697.360583943218,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,552,524,552,524,nivel_conv,552,496.6719840238543,28,-27.32801597614565,-55.32801597614565,55.32801597614565,3061.189351856628,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,518,533,518,533,nivel_conv,518,531.0728085779456,-15,-1.92719142205442,13.07280857794558,13.07280857794558,170.8983241156075,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,539,553,539,553,nivel_conv,539,540.6651191610679,-14,-12.33488083893212,1.665119161067878,1.665119161067878,2.772621820555394,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,544,560,544,560,nivel_conv,544,514.2248713001866,-16,-45.77512869981342,-29.77512869981342,29.77512869981342,886.558289090453,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,546,562,546,562,nivel_conv,546,484.6100107082039,-16,-77.3899892917961,-61.3899892917961,61.3899892917961,3768.73078524684,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,519,510,519,510,nivel_conv,519,440.295967539545,9,-69.70403246045504,-78.70403246045504,78.70403246045504,6194.32472553636,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-29,-36,659,15,26,65,1,495,518,495,518,nivel_conv,495,468.4300631194005,-23,-49.56993688059947,-26.56993688059947,26.56993688059947,705.9615458390399,518,529,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,466,544,466,544,nivel_conv,466,416.4384604651802,-78,-127.5615395348198,-49.56153953481976,49.56153953481976,2456.346201061502,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,461,546,461,546,nivel_conv,461,417.6267742956351,-85,-128.3732257043649,-43.37322570436493,43.37322570436493,1881.236708001783,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,461,540,461,540,nivel_conv,461,399.8845245971343,-79,-140.1154754028657,-61.11547540286574,61.11547540286574,3735.101333718287,540,6241,2,Validacao
