EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_alt_nivel_D12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,105,-8,-9,-10,-9,-21,-7,398,391,398,delta_alt,391,372.7214809977411,-7,-25.27851900225892,-18.27851900225892,18.27851900225892,334.1042569159403,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,104,-7,-9,-10,-7,-17,-1,395,394,395,delta_alt,394,373.2180412861028,-1,-21.78195871389721,-20.78195871389721,20.78195871389721,431.8898079861282,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,113,5,4,4,-6,-11,10,384,394,384,delta_alt,394,404.6515362034373,10,20.65153620343733,10.65153620343733,10.65153620343733,113.4552234931362,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,139,33,33,31,-1,-6,15,381,396,381,delta_alt,396,482.0776424392336,15,101.0776424392336,86.07764243923361,86.07764243923361,7409.360527896552,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,142,37,36,36,0,-2,22,382,404,382,delta_alt,404,496.3390527669285,22,114.3390527669285,92.33905276692849,92.33905276692849,8526.500665893604,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,148,11,29,35,-1,0,132,394,526,394,delta_alt,526,478.3717207265596,132,84.3717207265596,-47.6282792734404,47.6282792734404,2268.452986548832,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,145,6,8,26,0,-1,133,394,527,394,delta_alt,527,464.5790929786164,133,70.57909297861636,-62.42090702138364,62.42090702138364,3896.369633372221,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,143,1,4,6,0,-1,133,394,527,394,delta_alt,527,470.3136952961718,133,76.31369529617177,-56.68630470382823,56.68630470382823,3213.337140975258,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,141,-2,-1,2,2,2,130,396,526,396,delta_alt,526,470.2948076459974,130,74.29480764599737,-55.70519235400263,55.70519235400263,3103.068455196434,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,140,-5,-3,-2,10,10,120,404,524,404,delta_alt,524,484.0505452141487,120,80.05054521414866,-39.94945478585134,39.94945478585134,1595.958937686781,404,14400,2,Validacao
