EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,29121,-12,381,398,381,373.7156662060146,-17,-24.28433379398541,-7.284333793985411,7.284333793985411,53.06151882219789,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,29120,-14,382,395,382,374.6563268077302,-13,-20.34367319226976,-7.343673192269762,7.343673192269762,53.92953595486156,395,169,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,29124,-14,394,384,394,380.9985734070797,10,-3.001426592920325,-13.00142659292032,13.00142659292032,169.0370934510958,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,29139,1,394,381,394,394.5599350228415,13,13.5599350228415,0.5599350228415005,0.5599350228415005,0.3135272298045118,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,29149,10,394,382,394,407.7327933598148,12,25.73279335981476,13.73279335981476,13.73279335981476,188.5896134633725,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,29172,50,505,394,505,465.8174449509902,111,71.8174449509902,-39.18255504900981,39.18255504900981,1535.272620168684,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,29172,49,514,394,514,463.6471898543219,120,69.64718985432194,-50.35281014567806,50.35281014567806,2535.4054895667,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,29171,47,520,394,520,464.5197603245239,126,70.51976032452387,-55.48023967547613,55.48023967547613,3078.056994448275,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,29169,42,524,396,524,469.2352026792898,128,73.23520267928984,-54.76479732071016,54.76479732071016,2999.183025578463,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,29161,29,526,404,526,468.7896351608595,122,64.78963516085946,-57.21036483914054,57.21036483914054,3273.025845027568,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,29159,-7,524,505,524,554.0867379577621,19,49.08673795776213,30.08673795776213,30.08673795776213,905.2118009390442,505,361,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,29157,-16,517,524,517,533.6189514438457,-7,9.61895144384573,16.61895144384573,16.61895144384573,276.1895470929021,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,23,622,0,0,29157,-15,517,526,517,526.9187558634868,-9,0.9187558634868083,9.918755863486808,9.918755863486808,98.38171787945394,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,20,621,-1,-3,29156,-16,524,527,524,523.9408770540431,-3,-3.059122945956915,-0.05912294595691492,0.05912294595691492,0.003495522738624282,527,9,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,27,619,-3,-8,29155,-17,533,526,533,525.0876135526557,7,-0.9123864473442609,-7.912386447344261,7.912386447344261,62.60585929211713,526,49,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,31,615,-6,-17,29155,-16,543,524,543,523.9185626930805,19,-0.08143730691949713,-19.0814373069195,19.0814373069195,364.1012496978992,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,14974,45,626,13,-4,29153,-9,552,517,552,524.6253385253005,35,7.625338525300549,-27.37466147469945,27.37466147469945,749.3720908543943,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,36,669,28,10,29151,-7,510,533,510,522.056666747273,-23,-10.94333325272703,12.05666674727297,12.05666674727297,145.3632130547978,533,529,2,Validacao
