EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,391,398,391,398,nivel_conv,391,349.2971449239899,-7,-48.70285507601011,-41.70285507601011,41.70285507601011,1739.128121490702,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,394,395,394,395,nivel_conv,394,351.1482584269042,-1,-43.85174157309575,-42.85174157309575,42.85174157309575,1836.271755847383,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,394,384,394,384,nivel_conv,394,361.2033451568449,10,-22.79665484315507,-32.79665484315507,32.79665484315507,1075.620568901047,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,396,381,396,381,nivel_conv,396,366.4342310602036,15,-14.56576893979638,-29.56576893979638,29.56576893979638,874.1346930014287,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,404,382,404,382,nivel_conv,404,372.9334467184126,22,-9.066553281587403,-31.0665532815874,31.0665532815874,965.130732797709,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,526,394,526,394,nivel_conv,526,447.9772063681639,132,53.97720636816388,-78.02279363183612,78.02279363183612,6087.556326116088,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,527,394,527,394,nivel_conv,527,455.928508069921,133,61.92850806992101,-71.07149193007899,71.07149193007899,5051.156965167283,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,527,394,527,394,nivel_conv,527,471.3063120947011,133,77.30631209470113,-55.69368790529887,55.69368790529887,3101.786872492834,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,526,396,526,396,nivel_conv,526,511.9183121230474,130,115.9183121230474,-14.08168787695257,14.08168787695257,198.293933463913,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,524,404,524,404,nivel_conv,524,532.9948189739766,120,128.9948189739766,8.994818973976635,8.994818973976635,80.90676837461008,404,14400,2,Validacao
