EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_7_nivel_86472000,inp05_input_7_nivel_D_1h_86472000,inp06_input_7_nivel_D_2h_86472000,inp07_input_7_nivel_D_4h_86472000,inp08_input_7_nivel_A_12h_86472000,inp09_input_8_nivel_86125130,inp10_input_8_nivel_D_10h_86125130,inp11_input_8_nivel_D_11h_86125130,inp12_input_8_nivel_D_12h_86125130,inp13_input_12_nivel_D_2h_86472600,inp14_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,479,-2,-5,-13,-9,105,-8,-9,-10,-9,-21,391,398,391,398,nivel_conv,391,418.6890737152621,-7,20.68907371526205,27.68907371526205,27.68907371526205,766.6848032092159,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,477,-2,-4,-11,-7,104,-7,-9,-10,-7,-17,394,395,394,395,nivel_conv,394,417.989113056103,-1,22.98911305610295,23.98911305610295,23.98911305610295,575.4775452184891,395,1,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,471,0,-3,-8,12,106,-3,-3,-4,-5,-11,394,387,394,387,nivel_conv,394,409.1024304966596,7,22.10243049665957,15.10243049665957,15.10243049665957,228.0834069064329,387,49,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,469,-2,-2,-8,9,113,5,4,4,-6,-11,394,384,394,384,nivel_conv,394,396.4375622336652,10,12.43756223366523,2.437562233665233,2.437562233665233,5.941709642991039,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,470,2,2,-1,8,139,33,33,31,-1,-6,396,381,396,381,nivel_conv,396,437.9233843691001,15,56.92338436910012,41.92338436910012,41.92338436910012,1757.570156959308,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,474,4,6,5,8,142,37,36,36,0,-2,404,382,404,382,nivel_conv,404,452.3714995865682,22,70.37149958656818,48.37149958656818,48.37149958656818,2339.801972253365,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,478,2,3,1,4,148,11,29,35,-1,0,526,394,526,394,nivel_conv,526,436.562791515398,132,42.56279151539803,-89.43720848460197,89.43720848460197,7999.014261518158,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,484,6,8,8,7,145,6,8,26,0,-1,527,394,527,394,nivel_conv,527,409.8883641054132,133,15.88836410541319,-117.1116358945868,117.1116358945868,13715.13526190627,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,497,13,19,22,13,143,1,4,6,0,-1,527,394,527,394,nivel_conv,527,424.7248491007595,133,30.72484910075951,-102.2751508992405,102.2751508992405,10460.20649146241,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,535,38,51,59,36,141,-2,-1,2,2,2,526,396,526,396,nivel_conv,526,428.3439770098963,130,32.34397700989632,-97.65602299010368,97.65602299010368,9536.698826243659,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,567,32,70,89,28,140,-5,-3,-2,10,10,524,404,524,404,nivel_conv,524,471.1453947387041,120,67.14539473870406,-52.85460526129594,52.85460526129594,2793.609297327413,404,14400,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,614,8,18,47,8,137,-15,-14,-7,35,101,517,505,517,505,nivel_conv,517,679.8977636222446,12,174.8977636222446,162.8977636222446,162.8977636222446,26535.68139312868,505,144,2,Validacao
1,2,Validacao,2023,5,6,16,0,202305061600,2023-05-06 16:00,520,6,20.44384615384615,622,4,8,26,5,136,-12,-15,-16,15,50,524,520,524,520,nivel_conv,524,612.9299919944212,4,92.92999199442124,88.92999199442124,88.92999199442124,7908.543476127827,520,16,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,623,1,5,17,0,138,-7,-10,-13,10,32,533,524,533,524,nivel_conv,533,571.619102867247,9,47.61910286724697,38.61910286724697,38.61910286724697,1491.435106271003,524,81,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,622,-1,0,8,-3,137,-6,-8,-11,6,21,543,526,543,526,nivel_conv,543,549.9702738477265,17,23.9702738477265,6.970273847726503,6.970273847726503,48.58471751230003,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,621,-1,-1,-1,-14,134,-6,-7,-9,1,7,560,527,560,527,nivel_conv,560,534.0375064545761,33,7.037506454576146,-25.96249354542385,25.96249354542385,674.0510710961753,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,619,-2,-3,-4,-40,133,-6,-7,-8,-1,2,562,526,562,526,nivel_conv,562,532.5664691985446,36,6.56646919854461,-29.43353080145539,29.43353080145539,866.3327354402231,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,615,-4,-6,-7,-36,133,-8,-6,-7,-3,-2,552,524,552,524,nivel_conv,552,525.6049873501235,28,1.604987350123452,-26.39501264987655,26.39501264987655,696.696692787143,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,669,14,28,51,13,126,-10,-11,-12,15,16,518,533,518,533,nivel_conv,518,529.1260717674168,-15,-3.873928232583239,11.12607176741676,11.12607176741676,123.7894729737083,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,678,1,9,37,1,125,-8,-9,-11,20,35,539,553,539,553,nivel_conv,539,549.4450520340578,-14,-3.554947965942233,10.44505203405777,10.44505203405777,109.0991119941743,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,659,-19,-18,4,-18,123,-10,-10,-11,17,36,544,560,544,560,nivel_conv,544,544.4231563318151,-16,-15.57684366818489,0.4231563318151075,0.4231563318151075,0.1790612811552173,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,633,-26,-45,-36,-24,123,-9,-10,-10,9,29,546,562,546,562,nivel_conv,546,524.9551276283901,-16,-37.04487237160993,-21.04487237160993,21.04487237160993,442.8866531373508,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,594,-3,-11,-39,-8,122,-7,-9,-9,-26,-52,519,510,519,510,nivel_conv,519,507.0742418753463,9,-2.925758124653726,-11.92575812465373,11.92575812465373,142.2237068477444,510,81,2,Validacao
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,659,15,26,65,1,119,-6,-7,-7,21,8,495,518,495,518,nivel_conv,495,527.3611011485473,-23,9.361101148547277,32.36110114854728,32.36110114854728,1047.240867546508,518,529,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,648,-10,-15,4,9,117,-6,-6,-6,15,40,466,544,466,544,nivel_conv,466,501.7282879790944,-78,-42.27171202090557,35.72828797909443,35.72828797909443,1276.510561917104,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,639,-9,-19,-20,17,116,-7,-7,-7,7,28,461,546,461,546,nivel_conv,461,523.2379370543365,-85,-22.7620629456635,62.2379370543365,62.2379370543365,3873.560808779552,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,627,-12,-21,-36,3,116,-7,-7,-7,-4,11,461,540,461,540,nivel_conv,461,496.1510286893448,-79,-43.8489713106552,35.1510286893448,35.1510286893448,1235.594817919141,540,6241,2,Validacao
2,2,Validacao,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,452,7,19,90,6,101,22,17,12,51,65,496,336,496,336,nivel_conv,496,536.9267572692313,160,200.9267572692313,40.9267572692313,40.9267572692313,1674.999460574577,336,25600,2,Validacao
2,2,Validacao,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,461,9,16,61,7,106,27,27,22,64,90,509,367,509,367,nivel_conv,509,527.0363414127191,142,160.0363414127191,18.03634141271914,18.03634141271914,325.3096115561675,367,20164,2,Validacao
2,2,Validacao,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,475,14,23,42,13,114,35,35,35,51,102,545,387,545,387,nivel_conv,545,564.572648689551,158,177.572648689551,19.57264868955099,19.57264868955099,383.088576724582,387,24964,2,Validacao
2,2,Validacao,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,493,18,32,48,18,119,39,40,40,33,97,625,400,625,400,nivel_conv,625,619.4869150687045,225,219.4869150687045,-5.513084931295452,5.513084931295452,30.39410545967698,400,50625,2,Validacao
2,2,Validacao,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,511,18,36,59,19,121,33,41,42,39,90,699,426,699,426,nivel_conv,699,676.2649101406969,273,250.2649101406969,-22.73508985930312,22.73508985930312,516.8843109105874,426,74529,2,Validacao
2,2,Validacao,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,525,14,32,64,14,123,34,35,43,46.60000000000002,79.60000000000002,770,446.6,770,446.6,nivel_conv,770,679.5796626897925,323.4,232.9796626897925,-90.42033731020751,90.42033731020751,8175.837399291705,446.6,104587.56,2,Validacao
2,2,Validacao,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,532,7,21,57,5,126,36,37,38,39,78,834,465,834,465,nivel_conv,834,704.0617866318951,369,239.0617866318951,-129.9382133681049,129.9382133681049,16883.93929329516,465,136161,2,Validacao
2,2,Validacao,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,529,-3,4,36,-7,128,36,38,39,36.39999999999998,83,867,483,867,483,nivel_conv,867,721.8337272200092,384,238.8337272200092,-145.1662727799908,145.1662727799908,21073.24675283469,483,147456,2,Validacao
2,2,Validacao,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,522,-7,-10,11,-14,132,38,40,42,26,65,880,491,880,491,nivel_conv,880,735.997532800696,389,244.997532800696,-144.002467199304,144.002467199304,20736.71055948662,491,151321,2,Validacao
2,2,Validacao,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,520,-2,-9,-5,-40,138,42,44,46,6,42.39999999999998,886,489,886,489,nivel_conv,886,794.4762246467567,397,305.4762246467567,-91.52377535324331,91.52377535324331,8376.601454910948,489,157609,2,Validacao
2,2,Validacao,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,525,5,3,-7,-28,142,41,46,48,-5,21,888,486,888,486,nivel_conv,888,872.6003503176498,402,386.6003503176498,-15.39964968235017,15.39964968235017,237.1492103391078,486,161604,2,Validacao
