EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
1,1,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,29121,-12,381,398,373.1788036792371,-7.821196320762851,7.821196320762851,61.17111188791436,289,398,381
1,1,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,29120,-14,382,395,372.4381674056918,-9.561832594308157,9.561832594308157,91.42864256157387,169,395,382
1,1,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,29124,-14,394,384,377.279339000868,-16.72066099913195,16.72066099913195,279.5805042478923,100,384,394
1,1,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,29139,1,394,381,397.2174802507969,3.217480250796939,3.217480250796939,10.35217916426833,169,381,394
1,1,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,29149,10,394,382,415.6119502384396,21.61195023843959,21.61195023843959,467.076393108789,144,382,394
1,1,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,29172,50,505,394,498.2086264095726,-6.791373590427384,6.791373590427384,46.12275524475453,12321,394,505
1,1,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,29172,49,514,394,500.9076404739874,-13.09235952601261,13.09235952601261,171.4098779583733,14400,394,514
1,1,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,29171,47,520,394,505.9620298445133,-14.03797015548673,14.03797015548673,197.0646060863362,15876,394,520
1,1,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,29169,42,524,396,521.7481011112089,-2.251898888791061,2.251898888791061,5.071048605338415,16384,396,524
1,1,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,29161,29,526,404,508.474784994079,-17.52521500592104,17.52521500592104,307.1331610037601,14884,404,526
1,1,Teste,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,29159,-7,524,505,554.9626518906535,30.96265189065355,30.96265189065355,958.6858121017916,361,505,524
1,1,Teste,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,29157,-16,517,524,530.8252816943074,13.82528169430736,13.82528169430736,191.1384139269503,49,524,517
1,1,Teste,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,23,622,0,0,29157,-15,517,526,522.3438095301616,5.343809530161593,5.343809530161593,28.55630029464587,81,526,517
1,1,Teste,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,20,621,-1,-3,29156,-16,524,527,518.8639950730493,-5.136004926950704,5.136004926950704,26.37854660966191,9,527,524
1,1,Teste,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,27,619,-3,-8,29155,-17,533,526,518.2716648426986,-14.72833515730144,14.72833515730144,216.9238565058018,49,526,533
1,1,Teste,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,31,615,-6,-17,29155,-16,543,524,515.9648886389747,-27.03511136102532,27.03511136102532,730.8972463030401,361,524,543
1,1,Teste,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,14974,45,626,13,-4,29153,-9,552,517,519.2629085714547,-32.73709142854534,32.73709142854534,1071.717155200937,1225,517,552
1,1,Teste,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,36,669,28,10,29151,-7,510,533,520.6913703535035,10.69137035350354,10.69137035350354,114.3054000357745,529,533,510
1,1,Teste,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,51,678,9,0,29151,-6,497,553,532.2564215779262,35.25642157792618,35.25642157792618,1243.015262480458,3136,553,497
1,1,Teste,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,55,659,-18,-18,29149,-8,504,560,528.9256480968529,24.92564809685291,24.92564809685291,621.2879330481471,3136,560,504
1,1,Teste,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,57,633,-45,-26,29149,-8,518,562,530.1071747265036,12.10717472650356,12.10717472650356,146.5836798580865,1936,562,518
1,1,Teste,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,19,594,-11,-1,29145,-9,546,510,503.6101092663349,-42.38989073366508,42.38989073366508,1796.902836412065,1296,510,546
1,1,Teste,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,14936,-36,659,26,0,29142,-10,519,518,493.3321523202841,-25.66784767971592,25.66784767971592,658.8384045090979,1,518,519
