EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_8_nivel_86125130,inp08_input_8_nivel_D_10h_86125130,inp09_input_8_nivel_D_11h_86125130,inp10_input_8_nivel_D_12h_86125130,inp11_input_12_nivel_D_2h_86472600,inp12_input_13_nivel_D_4h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,105,-8,-9,-10,-9,-21,391,398,391,398,nivel_conv,391,381.2844348286981,-7,-16.71556517130188,-9.715565171301876,9.715565171301876,94.39220659781404,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,104,-7,-9,-10,-7,-17,394,395,394,395,nivel_conv,394,378.9187033580445,-1,-16.08129664195548,-15.08129664195548,15.08129664195548,227.4455084026575,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,113,5,4,4,-6,-11,394,384,394,384,nivel_conv,394,361.0907429937332,10,-22.90925700626678,-32.90925700626678,32.90925700626678,1083.019196704519,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,139,33,33,31,-1,-6,396,381,396,381,nivel_conv,396,366.7334325995139,15,-14.26656740048605,-29.26656740048605,29.26656740048605,856.531967407193,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,142,37,36,36,0,-2,404,382,404,382,nivel_conv,404,375.4424232421841,22,-6.557576757815866,-28.55757675781587,28.55757675781587,815.535190278545,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,148,11,29,35,-1,0,526,394,526,394,nivel_conv,526,373.1536656016879,132,-20.84633439831208,-152.8463343983121,152.8463343983121,23362.00193900064,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,145,6,8,26,0,-1,527,394,527,394,nivel_conv,527,370.8162159286912,133,-23.18378407130876,-156.1837840713088,156.1837840713088,24393.3744068332,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,143,1,4,6,0,-1,527,394,527,394,nivel_conv,527,383.4361715943489,133,-10.56382840565107,-143.5638284056511,143.5638284056511,20610.57282648722,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,141,-2,-1,2,2,2,526,396,526,396,nivel_conv,526,394.0421814987106,130,-1.95781850128941,-131.9578185012894,131.9578185012894,17412.86586361924,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,140,-5,-3,-2,10,10,524,404,524,404,nivel_conv,524,415.1561122137992,120,11.15611221379925,-108.8438877862008,108.8438877862008,11846.99190841506,404,14400,2,Validacao
