EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,105,-9,-17,398,381,379.9660950326817,-17,-18.03390496731834,-1.033904967318335,1.033904967318335,1.068959481445528,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,104,-9,-13,395,382,380.8279840748336,-13,-14.17201592516642,-1.17201592516642,1.17201592516642,1.373621328843699,395,169,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,113,4,10,384,394,395.8011258497122,10,11.80112584971221,1.801125849712207,1.801125849712207,3.24405432650152,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,139,33,13,381,394,439.011139618825,13,58.01113961882504,45.01113961882504,45.01113961882504,2026.002689785361,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,142,36,12,382,394,449.232054365769,12,67.23205436576905,55.23205436576905,55.23205436576905,3050.579829463267,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,148,29,111,394,505,486.2212261427632,111,92.22122614276316,-18.77877385723684,18.77877385723684,352.6423475812419,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,145,8,120,394,514,467.1079362295687,120,73.10793622956874,-46.89206377043126,46.89206377043126,2198.865644650192,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,143,4,126,394,520,466.2177302889911,126,72.2177302889911,-53.78226971100889,53.78226971100889,2892.532535267705,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,141,-1,128,396,524,471.6670286552749,128,75.66702865527486,-52.33297134472514,52.33297134472514,2738.739889767822,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,140,-3,122,404,526,488.4160833440079,122,84.41608334400792,-37.58391665599208,37.58391665599208,1412.550791204559,404,14884,2,Validacao
1,2,Validacao,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,137,-14,19,505,524,556.9085916372508,19,51.90859163725077,32.90859163725077,32.90859163725077,1082.975403547331,505,361,2,Validacao
1,2,Validacao,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,138,-10,-7,524,517,541.8692673767363,-7,17.86926737673627,24.86926737673627,24.86926737673627,618.4804598555992,524,49,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,23,622,0,0,137,-8,-9,526,517,533.1077789722065,-9,7.107778972206461,16.10777897220646,16.10777897220646,259.4605434174566,526,81,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,20,621,-1,-3,134,-7,-3,527,524,528.4147978726278,-3,1.414797872627787,4.414797872627787,4.414797872627787,19.49044025615883,527,9,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,27,619,-3,-8,133,-7,7,526,533,527.0180033080359,7,1.018003308035873,-5.981996691964127,5.981996691964127,35.78428442266976,526,49,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,31,615,-6,-17,133,-6,19,524,543,524.7726634968619,19,0.7726634968619237,-18.22733650313808,18.22733650313808,332.2357959986298,524,361,2,Validacao
1,2,Validacao,2023,5,7,2,0,202305070200,2023-05-07 02:00,517,0,17.64230769230769,14974,45,626,13,-4,131,-8,35,517,552,527.3925948529488,35,10.39259485294883,-24.60740514705117,24.60740514705117,605.5243880711203,517,1225,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,36,669,28,10,126,-11,-23,533,510,544.3983267783861,-23,11.39832677838615,34.39832677838615,34.39832677838615,1183.244885152638,533,529,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,51,678,9,0,125,-9,-56,553,497,565.7272654023861,-56,12.72726540238614,68.72726540238614,68.72726540238614,4723.437009690023,553,3136,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,55,659,-18,-18,123,-10,-56,560,504,560.6362432076251,-56,0.636243207625057,56.63624320762506,56.63624320762506,3207.664044673255,560,3136,2,Validacao
