EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_4a_nivel_86298000,inp05_input_4b_nivel_D-10H_86298000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,inp11_input_14_nivel_D-8h_86472600,inp12_input_15_nivel_D-12h_86472600,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,7,17,0,202305071700,2023-05-07 17:00,518,14,0.6243589743589744,212,-47,659,26,0,119,-7,-44,-15,519,518,519,478.9314635200623,1,-39.06853647993773,-40.06853647993773,40.06853647993773,1605.487615644101,518,1,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,203,-39,648,-15,-18,117,-6,23,-16,502,544,502,488.7476564356424,-42,-55.2523435643576,-13.2523435643576,13.2523435643576,175.6246099477704,544,1764,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,202,-35,639,-19,-10,116,-7,36,-16,495,546,495,485.2059405537598,-51,-60.79405944624023,-9.794059446240226,9.794059446240226,95.9236004364874,546,2601,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,171,76,452,19,-3,101,17,69,89,491,336,491,406.5118302743417,155,70.51183027434172,-84.48816972565828,84.48816972565828,7138.25082359164,336,24025,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,235,135,475,23,13,114,35,118,125,486,387,486,496.3566120346928,99,109.3566120346928,10.35661203469283,10.35661203469283,107.2594128371444,387,9801,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,268,166,493,32,16,119,40,130,134,489,400,489,520.9446505796426,89,120.9446505796426,31.9446505796426,31.9446505796426,1020.46070065546,400,7921,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,292,188,511,36,17,121,41,155,159,496,426,496,642.2103085174653,70,216.2103085174653,146.2103085174653,146.2103085174653,21377.45431677237,426,4900,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,314,205,525,32,14,123,35,169.6,178.6,509,446.6,509,661.0068022178559,62.39999999999998,214.4068022178559,152.0068022178559,152.0068022178559,23106.06792049837,446.6,3893.759999999997,3,Teste
2,3,Teste,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,330,215,532,21,8,126,37,180,196,545,465,545,691.8988558842101,80,226.8988558842101,146.8988558842101,146.8988558842101,21579.27386008992,465,6400,3,Teste
2,3,Teste,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,335,214,529,4,-3,128,38,180,213,625,483,625,717.877326296399,142,234.877326296399,92.87732629639902,92.87732629639902,8626.197739967773,483,20164,3,Teste
