EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_12_nivel_D_2h_86472600,inp13_input_13_nivel_D_4h_86472600,inp14_input_16_nivel_A_1h_86472600,inp15_input_17_nivel_A_2h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-9,-21,1,1,391,398,391,398,nivel_conv,391,348.1173926721395,-7,-49.88260732786051,-42.88260732786051,42.88260732786051,1838.918011235476,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-7,-17,1,2,394,395,394,395,nivel_conv,394,348.3959180254751,-1,-46.60408197452495,-45.60408197452495,45.60408197452495,2079.732292739191,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,-6,-11,0,-1,394,384,394,384,nivel_conv,394,351.803631752913,10,-32.19636824708704,-42.19636824708704,42.19636824708704,1780.533493243775,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,-1,-6,-1,1,396,381,396,381,nivel_conv,396,356.3743885572221,15,-24.62561144277788,-39.62561144277788,39.62561144277788,1570.189082214009,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,0,-2,2,1,404,382,404,382,nivel_conv,404,363.1038656333074,22,-18.89613436669259,-40.89613436669259,40.89613436669259,1672.493806138575,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,-1,0,1,0,526,394,526,394,nivel_conv,526,436.2152465213642,132,42.21524652136424,-89.78475347863576,89.78475347863576,8061.301957219397,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,0,-1,0,1,527,394,527,394,nivel_conv,527,441.0867620853834,133,47.08676208538344,-85.91323791461656,85.91323791461656,7381.084448973508,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,0,-1,0,0,527,394,527,394,nivel_conv,527,449.8677955334506,133,55.86779553345059,-77.13220446654941,77.13220446654941,5949.376965869585,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,2,2,2,2,526,396,526,396,nivel_conv,526,481.0997674218824,130,85.0997674218824,-44.9002325781176,44.9002325781176,2016.030885569053,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,10,10,6,8,524,404,524,404,nivel_conv,524,486.2337388670499,120,82.23373886704985,-37.76626113295015,37.76626113295015,1426.290479962181,404,14400,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,6,21,-2,-4,543,526,543,526,nivel_conv,543,483.8662004663965,17,-42.13379953360351,-59.13379953360351,59.13379953360351,3496.806247280406,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,1,7,-1,-2,560,527,560,527,nivel_conv,560,480.6461743236215,33,-46.35382567637851,-79.3538256763785,79.3538256763785,6297.029649477068,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,-1,2,-1,-2,562,526,562,526,nivel_conv,562,489.9825863575718,36,-36.01741364242815,-72.01741364242815,72.01741364242815,5186.507867744596,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,-3,-2,-1,-2,552,524,552,524,nivel_conv,552,487.8386742809334,28,-36.16132571906661,-64.16132571906661,64.16132571906661,4116.675718028158,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,15,16,3,8,518,533,518,533,nivel_conv,518,496.8161743879713,-15,-36.18382561202873,-21.18382561202873,21.18382561202873,448.7544675608443,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,20,35,0,1,539,553,539,553,nivel_conv,539,514.7458182816902,-14,-38.25418171830984,-24.25418171830984,24.25418171830984,588.2653308247951,553,196,2,Validacao
1,2,Validacao,2023,5,7,8,0,202305070800,2023-05-07 08:00,560,7,2.273076923076922,14978,51,55,659,-19,-18,4,-18,17,36,-3,-3,544,560,544,560,nivel_conv,544,499.450772927931,-16,-60.54922707206896,-44.54922707206896,44.54922707206896,1984.633632718762,560,256,2,Validacao
1,2,Validacao,2023,5,7,9,0,202305070900,2023-05-07 09:00,562,2,2.21153846153846,14980,39,57,633,-26,-45,-36,-24,9,29,-5,-8,546,562,546,562,nivel_conv,546,487.6105593078343,-16,-74.38944069216569,-58.38944069216569,58.38944069216569,3409.326784343935,562,256,2,Validacao
1,2,Validacao,2023,5,7,13,0,202305071300,2023-05-07 13:00,510,-11,1.085897435897436,14983,9,19,594,-3,-11,-39,-8,-26,-52,4,5,519,510,519,510,nivel_conv,519,423.5816349751566,9,-86.41836502484341,-95.41836502484341,95.41836502484341,9104.66438401426,510,81,2,Validacao
1,2,Validacao,2023,5,7,20,0,202305072000,2023-05-07 20:00,544,5,4.155128205128205,14913,-65,-48,648,-10,-15,4,9,15,40,-5,-6,466,544,466,544,nivel_conv,466,401.3359137224713,-78,-142.6640862775287,-64.66408627752867,64.66408627752867,4181.444054107671,544,6084,2,Validacao
1,2,Validacao,2023,5,7,21,0,202305072100,2023-05-07 21:00,546,2,15.73974358974359,14909,-71,-67,639,-9,-19,-20,17,7,28,-3,-8,461,546,461,546,nivel_conv,461,411.3255173064227,-85,-134.6744826935773,-49.67448269357732,49.67448269357732,2467.554230874513,546,7225,2,Validacao
1,2,Validacao,2023,5,7,22,0,202305072200,2023-05-07 22:00,540,-6,17.25897435897436,14905,-78,-73,627,-12,-21,-36,3,-4,11,-8,-11,461,540,461,540,nivel_conv,461,396.5110114630093,-79,-143.4889885369907,-64.48898853699069,64.48898853699069,4158.829642524117,540,6241,2,Validacao
2,3,Teste,2023,6,15,18,0,202306151800,2023-06-15 18:00,336,33,69.44935897435897,14716,11,8,452,7,19,90,6,51,65,15,25,496,336,496,336,nivel_conv,496,437.8283397124331,160,101.8283397124331,-58.17166028756685,58.17166028756685,3383.942060612083,336,25600,3,Teste
2,3,Teste,2023,6,15,19,0,202306151900,2023-06-15 19:00,367,31,71.64807692307691,14715,9,8,461,9,16,61,7,64,90,-2,13,509,367,509,367,nivel_conv,509,468.6783679540739,142,101.6783679540739,-40.32163204592609,40.32163204592609,1625.834010847054,367,20164,3,Teste
2,3,Teste,2023,6,15,20,0,202306152000,2023-06-15 20:00,387,20,73.36474358974358,14729,22,24,475,14,23,42,13,51,102,-11,-13,545,387,545,387,nivel_conv,545,495.5517374746758,158,108.5517374746758,-49.4482625253242,49.4482625253242,2445.130666773381,387,24964,3,Teste
2,3,Teste,2023,6,15,21,0,202306152100,2023-06-15 21:00,400,13,74.41089743589744,14753,44,47,493,18,32,48,18,33,97,-7,-18,625,400,625,400,nivel_conv,625,526.5490933560801,225,126.5490933560801,-98.4509066439199,98.4509066439199,9692.581019009831,400,50625,3,Teste
2,3,Teste,2023,6,15,22,0,202306152200,2023-06-15 22:00,426,26,75.90128205128205,14789,78,82,511,18,36,59,19,39,90,13,6,699,426,699,426,nivel_conv,699,617.7278598044115,273,191.7278598044115,-81.27214019558846,81.27214019558846,6605.160771971386,426,74529,3,Teste
2,3,Teste,2023,6,15,23,0,202306152300,2023-06-15 23:00,446.6,20.60000000000002,76.57179487179486,14823,109,114,525,14,32,64,14,46.60000000000002,79.60000000000002,-5.399999999999977,7.600000000000023,770,446.6,770,446.6,nivel_conv,770,640.1438563705797,323.4,193.5438563705796,-129.8561436294203,129.8561436294203,16862.61803830464,446.6,104587.56,3,Teste
2,3,Teste,2023,6,16,0,0,202306160000,2023-06-16 00:00,465,18.39999999999998,77.50192307692308,14866,148,155,532,7,21,57,5,39,78,-2.200000000000045,-7.600000000000023,834,465,834,465,nivel_conv,834,689.8068864395075,369,224.8068864395075,-144.1931135604925,144.1931135604925,20791.65399826909,465,136161,3,Teste
2,3,Teste,2023,6,16,1,0,202306160100,2023-06-16 01:00,483,18,78.50384615384615,14915,193,201,529,-3,4,36,-7,36.39999999999998,83,-0.3999999999999773,-2.600000000000023,867,483,867,483,nivel_conv,867,753.7350705571951,384,270.7350705571951,-113.2649294428049,113.2649294428049,12828.94424168358,483,147456,3,Teste
2,3,Teste,2023,6,16,2,0,202306160200,2023-06-16 02:00,491,8,80.2051282051282,14978,255,260,522,-7,-10,11,-14,26,65,-10,-10.39999999999998,880,491,880,491,nivel_conv,880,807.6687246394993,389,316.6687246394993,-72.33127536050074,72.33127536050074,5231.813395276581,491,151321,3,Teste
2,3,Teste,2023,6,16,3,0,202306160300,2023-06-16 03:00,489,-2,82.22331002331002,14996,276,274,520,-2,-9,-5,-40,6,42.39999999999998,-10,-20,886,489,886,489,nivel_conv,886,838.8729446695177,397,349.8729446695177,-47.12705533048234,47.12705533048234,2220.959344122343,489,157609,3,Teste
2,3,Teste,2023,6,16,4,0,202306160400,2023-06-16 04:00,486,-3,85.91369463869464,14998,280,275,525,5,3,-7,-28,-5,21,-1,-11,888,486,888,486,nivel_conv,888,865.791161508967,402,379.791161508967,-22.20883849103302,22.20883849103302,493.2325071207899,486,161604,3,Teste
2,3,Teste,2023,6,16,5,0,202306160500,2023-06-16 05:00,489,3,89.1207459207459,15008,290,288,545,20,25,16,8,0,6,6,5,888,489,888,489,nivel_conv,888,918.4861709640793,399,429.4861709640793,30.48617096407929,30.48617096407929,929.4066200510713,489,159201,3,Teste
2,3,Teste,2023,6,16,6,0,202306160600,2023-06-16 06:00,496,7,89.50766899766899,15002,286,284,604,59,79,82,52,10,5,4,10,883,496,883,496,nivel_conv,883,981.5240490405333,387,485.5240490405333,98.52404904053333,98.52404904053333,9706.988239341415,496,149769,3,Teste
2,3,Teste,2023,6,16,7,0,202306160700,2023-06-16 07:00,509,13,87.73202797202796,15002,287,284,709,105,164,189,96,20,20,6,10,881,509,881,509,nivel_conv,881,1066.886145431429,372,557.8861454314292,185.8861454314292,185.8861454314292,34553.65906335445,509,138384,3,Teste
2,3,Teste,2023,6,16,8,0,202306160800,2023-06-16 08:00,545,36,85.6679254079254,14999,270,283,800,91,196,275,77,49,59,23,29,877,545,877,545,nivel_conv,877,1108.599693055304,332,563.599693055304,231.599693055304,231.599693055304,53638.41782331102,545,110224,3,Teste
2,3,Teste,2023,6,16,9,0,202306160900,2023-06-16 09:00,625,80,84.86664335664337,15007,254,292,875,75,166,330,57,116,136,44,67,874,625,874,625,nivel_conv,874,1254.319368138488,249,629.3193681384878,380.3193681384878,380.3193681384878,144642.8217812586,625,62001,3,Teste
2,3,Teste,2023,6,16,10,0,202306161000,2023-06-16 10:00,699,74,83.69741258741259,14993,204,264,978,103,178,374,85,154,203,-6,38,881,699,881,699,nivel_conv,881,1281.176451620669,182,582.1764516206688,400.1764516206688,400.1764516206688,160141.1924317095,699,33124,3,Teste
2,3,Teste,2023,6,16,11,0,202306161100,2023-06-16 11:00,770,71,82.76664335664336,14989,166,236,1017,39,142,308,25,145,261,-3,-9,888,770,888,770,nivel_conv,888,1227.851629176485,118,457.8516291764852,339.8516291764852,339.8516291764852,115499.1298539112,770,13924,3,Teste
2,3,Teste,2023,6,16,12,0,202306161200,2023-06-16 12:00,834,64,80.45125874125874,14992,126,203,1027,10,49,227,3,135,289,-7,-10,893,834,893,834,nivel_conv,893,1190.767906422105,59,356.7679064221054,297.7679064221054,297.7679064221054,88665.72609500372,834,3481,3,Teste
2,3,Teste,2023,6,16,13,0,202306161300,2023-06-16 13:00,867,33,78.80510489510489,14994,79,171,1031,4,14,156,7,97,242,-31,-38,881,867,881,867,nivel_conv,881,1097.089998537938,14,230.0899985379381,216.0899985379381,216.0899985379381,46694.88746812608,867,196,3,Teste
2,3,Teste,2023,6,16,14,0,202306161400,2023-06-16 14:00,880,13,77.96151515151516,14995,17,129,1036,5,9,58,12,46,181,-20,-51,868,880,868,880,nivel_conv,868,1046.231053740732,-12,166.231053740732,178.231053740732,178.231053740732,31766.30851753171,880,144,3,Teste
2,3,Teste,2023,6,16,15,0,202306161500,2023-06-16 15:00,886,6,77.16151515151516,14996,0,81,1036,0,5,19,2,19,116,-7,-27,856,886,856,886,nivel_conv,856,1008.083929904967,-30,122.0839299049674,152.0839299049674,152.0839299049674,23129.52173533903,886,900,3,Teste
2,3,Teste,2023,6,16,16,0,202306161600,2023-06-16 16:00,888,2,76.22305361305362,14999,1,21,1037,1,1,10,-4,8,54,-4,-11,843,888,843,888,nivel_conv,843,965.0244734891169,-45,77.02447348911687,122.0244734891169,122.0244734891169,14889.97213029619,888,2025,3,Teste
2,3,Teste,2023,6,16,17,0,202306161700,2023-06-16 17:00,888,0,75.46920745920747,15008,0,12,1029,-8,-7,-2,-28,2,21,-2,-6,822,888,822,888,nivel_conv,822,937.264906433347,-66,49.26490643334705,115.2649064333471,115.2649064333471,13285.99865508825,888,4356,3,Teste
2,3,Teste,2023,6,16,18,0,202306161800,2023-06-16 18:00,883,-5,75.207668997669,14988,-14,-10,1027,-2,-10,-9,-61,-5,3,-5,-7,801,883,801,883,nivel_conv,801,928.2470270067797,-82,45.24702700677972,127.2470270067797,127.2470270067797,16191.80588206413,883,6724,3,Teste
