EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D_1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6_nivel_86448000,inp05_input_6_nivel_D_12H_86448000,inp06_input_6_nivel_D_14H_86448000,inp07_input_7_nivel_86472000,inp08_input_7_nivel_D_1h_86472000,inp09_input_7_nivel_D_2h_86472000,inp10_input_7_nivel_D_4h_86472000,inp11_input_7_nivel_A_12h_86472000,inp12_input_12_nivel_D_2h_86472600,inp13_input_13_nivel_D_4h_86472600,inp14_input_16_nivel_A_1h_86472600,inp15_input_17_nivel_A_2h_86472600,saida_12h_conv_nivel_12h_86472600,NIVEL_ATUAL_CM,OBSERVADO_12H_CM_AUDITORIA,PERSISTENCIA_CM,TIPO_ALVO_RNA,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-13,-21,479,-2,-5,-13,-9,-9,-21,1,1,391,398,391,398,nivel_conv,391,335.0490869658594,-7,-62.95091303414057,-55.95091303414057,55.95091303414057,3130.504669353961,398,49,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-14,-18,477,-2,-4,-11,-7,-7,-17,1,2,394,395,394,395,nivel_conv,394,338.1496609453514,-1,-56.8503390546486,-55.8503390546486,55.8503390546486,3119.260372519207,395,1,2,Validacao
1,2,Validacao,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-17,-20,469,-2,-2,-8,9,-6,-11,0,-1,394,384,394,384,nivel_conv,394,348.5721009719827,10,-35.42789902801729,-45.42789902801729,45.42789902801729,2063.694010099734,384,100,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-15,-18,470,2,2,-1,8,-1,-6,-1,1,396,381,396,381,nivel_conv,396,355.9064522745407,15,-25.0935477254593,-40.0935477254593,40.0935477254593,1607.492569213683,381,225,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-13,-15,474,4,6,5,8,0,-2,2,1,404,382,404,382,nivel_conv,404,364.1042407094823,22,-17.89575929051773,-39.89575929051773,39.89575929051773,1591.671609366932,382,484,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,85,81,478,2,3,1,4,-1,0,1,0,526,394,526,394,nivel_conv,526,442.3889798564562,132,48.38897985645622,-83.61102014354378,83.61102014354378,6990.802689444085,394,17424,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,94,90,484,6,8,8,7,0,-1,0,1,527,394,527,394,nivel_conv,527,450.4033853100224,133,56.40338531002237,-76.59661468997763,76.59661468997763,5867.041381964897,394,17689,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,101,99,497,13,19,22,13,0,-1,0,0,527,394,527,394,nivel_conv,527,465.6029136857621,133,71.60291368576208,-61.39708631423792,61.39708631423792,3769.602207877982,394,17689,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,106,535,38,51,59,36,2,2,2,2,526,396,526,396,nivel_conv,526,508.4181039866291,130,112.4181039866291,-17.58189601337085,17.58189601337085,309.1230674249858,396,16900,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,105,107,567,32,70,89,28,10,10,6,8,524,404,524,404,nivel_conv,524,537.5779128569229,120,133.5779128569229,13.57791285692292,13.57791285692292,184.3597175501928,404,14400,2,Validacao
1,2,Validacao,2023,5,6,18,0,202305061800,2023-05-06 18:00,526,2,19.61153846153846,14923,16,23,622,-1,0,8,-3,6,21,-2,-4,543,526,543,526,nivel_conv,543,464.4907103498892,17,-61.50928965011076,-78.50928965011076,78.50928965011076,6163.708561364988,526,289,2,Validacao
1,2,Validacao,2023,5,6,20,0,202305062000,2023-05-06 20:00,527,0,19.58076923076923,14927,6,20,621,-1,-1,-1,-14,1,7,-1,-2,560,527,560,527,nivel_conv,560,455.887467625951,33,-71.11253237404901,-104.112532374049,104.112532374049,10839.4193973374,527,1089,2,Validacao
1,2,Validacao,2023,5,6,21,0,202305062100,2023-05-06 21:00,526,-1,19.56538461538461,14941,15,27,619,-2,-3,-4,-40,-1,2,-1,-2,562,526,562,526,nivel_conv,562,463.0391732484672,36,-62.96082675153281,-98.9608267515328,98.9608267515328,9793.245231346891,526,1296,2,Validacao
1,2,Validacao,2023,5,6,22,0,202305062200,2023-05-06 22:00,524,-2,19.56538461538461,14952,25,31,615,-4,-6,-7,-36,-3,-2,-1,-2,552,524,552,524,nivel_conv,552,464.578560059851,28,-59.42143994014896,-87.42143994014896,87.42143994014896,7642.508161209072,524,784,2,Validacao
1,2,Validacao,2023,5,7,5,0,202305070500,2023-05-07 05:00,533,9,3.203846153846152,14965,40,36,669,14,28,51,13,15,16,3,8,518,533,518,533,nivel_conv,518,510.3206678530065,-15,-22.67933214699349,-7.679332146993488,7.679332146993488,58.97214222384761,533,225,2,Validacao
1,2,Validacao,2023,5,7,7,0,202305070700,2023-05-07 07:00,553,10,2.273076923076922,14976,53,51,678,1,9,37,1,20,35,0,1,539,553,539,553,nivel_conv,539,520.008729767103,-14,-32.99127023289702,-18.99127023289702,18.99127023289702,360.6683450589205,553,196,2,Validacao
