EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_6a_nivel_86448000,inp05_input_6b_nivel_D-14H_86448000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_10a_nivel_86430900,inp10_input_10b_nivel_D-14h_86430900,saida_8h_conv_nivel_8h_86472600,NIVEL_ATUAL_CM,RNA_CM,ERRO_CM,ERRO_ABS_CM,E2_RNA,E2_PERS,PERS_BASE_NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA
1,1,Teste,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,14832,-21,479,-5,-19,29121,-12,381,398,370.0254043672613,-10.97459563273867,10.97459563273867,120.4417493021267,289,398,381
1,1,Teste,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,14831,-18,477,-4,-14,29120,-14,382,395,369.7225426415976,-12.27745735840244,12.27745735840244,150.7359591873903,169,395,382
1,1,Teste,2023,5,5,18,0,202305051800,2023-05-05 18:00,384,-3,29.12333333333333,14822,-20,469,-2,-5,29124,-14,394,384,375.2625472187415,-18.73745278125853,18.73745278125853,351.0921367298928,100,384,394
1,1,Teste,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,14820,-18,470,2,11,29139,1,394,381,392.382089767891,-1.617910232109011,1.617910232109011,2.617633519163035,169,381,394
1,1,Teste,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,14822,-15,474,6,12,29149,10,394,382,409.7445321572238,15.74453215722383,15.74453215722383,247.8902928498553,144,382,394
1,1,Teste,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,14907,81,478,3,5,29172,50,505,394,493.371339717479,-11.62866028252097,11.62866028252097,135.2257399662807,12321,394,505
1,1,Teste,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,14914,90,484,8,6,29172,49,514,394,494.0481655106253,-19.95183448937473,19.95183448937473,398.0756994914031,14400,394,514
1,1,Teste,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,14921,99,497,19,15,29171,47,520,394,495.9451729754679,-24.05482702453207,24.05482702453207,578.6347031801586,15876,394,520
1,1,Teste,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,14926,106,535,51,39,29169,42,524,396,502.5523511086327,-21.44764889136729,21.44764889136729,460.0016429673687,16384,396,524
1,1,Teste,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,14927,107,567,70,32,29161,29,526,404,485.8005728764745,-40.19942712352554,40.19942712352554,1615.993941059641,14884,404,526
1,1,Teste,2023,5,6,14,0,202305061400,2023-05-06 14:00,505,13,21.51179487179487,14929,90,614,18,7,29159,-7,524,505,533.2731844778627,9.273184477862742,9.273184477862742,85.99195036047449,361,505,524
1,1,Teste,2023,5,6,17,0,202305061700,2023-05-06 17:00,524,4,19.73615384615384,14925,44,623,5,2,29157,-16,517,524,517.7404472419067,0.740447241906736,0.740447241906736,0.5482621180472925,49,524,517
