EVENTO,SERIE,CONJUNTO,ANO,MES,DIA,HORA,MINUTO,COD_SEQUENCIAL,DATA_HORA,inp01_input_1_nivel_86472600,inp02_input_2_nivel_D-1h_86472600,inp03_input_3_chuva_med_acum_36h,inp04_input_5a_nivel_86306000,inp05_input_5b_nivel_D-12H_86306000,inp06_input_7a_nivel_86472000,inp07_input_7b_nivel_D-2h_86472000,inp08_input_7c_nivel_A-14h_86472000,inp09_input_8a_nivel_86125130,inp10_input_8b_nivel_D-11h_86125130,saida_8h_alt_nivel_D8h_86472600,NIVEL_ATUAL_CM,OBSERVADO_CM_AUDITORIA,RNA_CM,ALT_OBSERVADA_CM,ALT_RNA_CM,ERRO_RNA_CM,ERRO_ABS_CM,E2_RNA,PERS_BASE_NIVEL_ATUAL_CM,E2_PERS,SERIE_AUDITORIA,CONJUNTO_AUDITORIA
1,2,Validacao,2023,5,5,13,0,202305051300,2023-05-05 13:00,398,-4,12.62076923076923,226,-26,479,-5,-19,105,-9,-17,398,381,374.8983061491268,-17,-23.10169385087318,-6.101693850873176,6.101693850873176,37.23066784978352,398,289,2,Validacao
1,2,Validacao,2023,5,5,14,0,202305051400,2023-05-05 14:00,395,-3,14.00538461538462,224,-23,477,-4,-14,104,-9,-13,395,382,375.5562342253053,-13,-19.44376577469473,-6.443765774694725,6.443765774694725,41.52211735912712,395,169,2,Validacao
1,2,Validacao,2023,5,5,17,0,202305051700,2023-05-05 17:00,387,-3,28.42333333333333,221,-17,471,-3,-33,106,-3,4,387,391,381.4600812234461,4,-5.539918776553918,-9.539918776553918,9.539918776553918,91.010050263246,387,16,2,Validacao
1,2,Validacao,2023,5,5,21,0,202305052100,2023-05-05 21:00,381,-1,29.43102564102564,231,-3,470,2,11,139,33,13,381,394,426.9669665097717,13,45.96696650977174,32.96696650977174,32.96696650977174,1086.820880856411,381,169,2,Validacao
1,2,Validacao,2023,5,5,22,0,202305052200,2023-05-05 22:00,382,1,29.46564102564102,235,3,474,6,12,142,36,12,382,394,436.7686470188443,12,54.76864701884426,42.76864701884426,42.76864701884426,1829.157167822496,382,144,2,Validacao
1,2,Validacao,2023,5,6,6,0,202305060600,2023-05-06 06:00,394,0,29.61179487179487,364,142,478,3,5,148,29,111,394,505,488.9251039331573,111,94.92510393315729,-16.07489606684271,16.07489606684271,258.4022835597953,394,12321,2,Validacao
1,2,Validacao,2023,5,6,7,0,202305060700,2023-05-06 07:00,394,0,26.37333333333332,374,151,484,8,6,145,8,120,394,514,474.0104547116931,120,80.01045471169311,-39.98954528830689,39.98954528830689,1599.163732365548,394,14400,2,Validacao
1,2,Validacao,2023,5,6,8,0,202305060800,2023-05-06 08:00,394,0,24.96564102564102,380,153,497,19,15,143,4,126,394,520,471.0080302466364,126,77.0080302466364,-48.99196975336361,48.99196975336361,2400.213100314495,394,15876,2,Validacao
1,2,Validacao,2023,5,6,9,0,202305060900,2023-05-06 09:00,396,2,24.18102564102563,384,153,535,51,39,141,-1,128,396,524,472.4215701644198,128,76.42157016441979,-51.57842983558021,51.57842983558021,2660.33442430387,396,16384,2,Validacao
1,2,Validacao,2023,5,6,10,0,202305061000,2023-05-06 10:00,404,8,23.67333333333332,387,152,567,70,32,140,-3,122,404,526,486.3657185724926,122,82.3657185724926,-39.6342814275074,39.6342814275074,1570.876264274858,404,14884,2,Validacao
